

gen best mean std div
0 29.641931 -3.186929 8.141476 0.761104
1 30.31197 0.393124 10.383138 0.750747
2 30.31197 4.940362 11.780643 0.736862
3 39.307301 10.368233 12.481202 0.721669
4 40.635966 16.538363 9.902419 0.701902
5 43.634419 19.862767 9.399721 0.680711
6 43.858469 22.686486 10.04825 0.653882
7 43.868929 25.56931 10.616259 0.605723
8 43.907866 28.536405 11.053041 0.556416
9 43.946133 30.681648 11.010315 0.499284
10 44.00709 32.836672 10.594023 0.475643
11 44.00709 35.294801 9.325321 0.420075
12 44.00709 36.853928 8.737614 0.374176
13 44.00709 38.217546 7.933275 0.334226
14 44.00709 39.386712 7.108361 0.266603
15 55.016206 39.640693 7.671256 0.254105
16 55.016206 40.192186 6.889965 0.229851
17 55.016206 40.244823 8.114424 0.171892
18 55.016206 40.719131 7.675371 0.172219
19 55.016206 40.21004 7.858548 0.171232
20 67.401497 40.484713 8.535495 0.171924
21 67.401497 40.897918 8.788191 0.157222
22 67.401497 41.49808 9.231941 0.12412
23 67.401497 42.239496 9.588701 0.125241
24 67.401497 42.28442 9.446805 0.090096
25 67.401497 41.438859 10.150693 0.09067
26 67.401497 42.354574 9.775521 0.090675
27 67.401497 42.541156 9.903229 0.09111
28 67.401497 42.677301 10.384854 0.087681
29 67.401497 42.71887 11.0719 0.08442
30 67.401497 43.898905 10.969843 0.083728
31 67.401497 44.215494 11.477739 0.081992
32 67.401497 43.871024 12.25426 0.080269
33 67.401497 44.504091 11.859742 0.081119
34 67.401497 45.641555 11.490539 0.081396
35 67.401497 45.530204 11.487317 0.07752
36 67.401497 45.720839 11.784732 0.076496
37 67.401497 45.325127 12.035854 0.075621
38 67.401497 45.876118 11.182016 0.074753
39 67.401497 45.132529 11.546045 0.072277
40 67.401497 44.436068 11.880762 0.071429
41 67.401497 44.270597 12.142201 0.07081
42 67.401497 44.27524 11.928019 0.070486
43 67.401497 44.134509 11.891252 0.071195
44 67.401497 45.205855 11.410619 0.072148
45 67.401497 45.147737 11.334099 0.073414
46 67.401497 44.410677 11.414378 0.07377
47 67.401497 44.671094 11.788363 0.07317
48 67.401497 46.199077 11.434686 0.072273
49 67.401497 45.370094 11.496623 0.069939
50 67.401497 45.829887 12.508084 0.067913
51 67.401497 46.385747 12.652985 0.067583
52 67.401497 46.013542 12.503174 0.067756
53 67.401497 45.303342 13.690716 0.065428
54 67.401497 44.765297 13.216822 0.066816
55 67.401497 46.548546 12.705735 0.06679
56 67.401497 46.109632 12.59721 0.066145
57 67.401497 46.544208 12.809519 0.065927
58 67.401497 45.3012 12.615699 0.068092
59 67.401497 45.539916 12.081277 0.068476
60 67.401497 46.485209 12.021861 0.064099
61 67.401497 46.166293 11.911768 0.065906
62 67.401497 46.398859 11.930617 0.065547
63 67.401497 46.463979 12.581073 0.065101
64 67.401497 46.217298 12.094507 0.065293
65 67.401497 46.350513 12.4477 0.065718
66 67.401497 47.42978 11.612632 0.065326
67 67.401497 46.970961 12.176098 0.067075
68 67.401497 47.156438 12.407139 0.068124
69 67.401497 47.696896 12.397903 0.06697
70 67.401497 47.463914 13.070333 0.067175
71 67.401497 47.763494 12.414222 0.068205
72 67.401497 48.094062 11.980942 0.069538
73 67.401497 46.54767 13.362867 0.069171
74 67.401497 45.84337 12.78168 0.070656
75 67.401497 46.835945 12.914708 0.071837
76 67.401497 45.201348 13.739518 0.072487
77 67.401497 45.292223 13.011981 0.073473
78 67.401497 45.136254 12.528761 0.076095
79 67.401497 45.06215 12.829035 0.07391
80 67.401497 45.077547 13.769539 0.075363
81 67.401497 45.760357 13.431282 0.075682
82 67.401497 46.192916 12.435974 0.076511
83 67.401497 46.016708 12.944211 0.076082
84 67.401497 45.861777 12.823986 0.073824
85 67.401497 46.268693 11.973671 0.075022
86 67.401497 45.630321 12.753622 0.077119
87 67.401497 46.051879 12.254751 0.076664
88 67.401497 46.367169 11.334207 0.0747
89 67.401497 46.895943 11.392249 0.07368
90 67.401497 46.715091 11.800728 0.074143
91 67.401497 45.817249 11.478825 0.07459
92 67.401497 45.378929 10.667093 0.075342
93 67.401497 45.429538 10.363797 0.075619
94 67.401497 45.972099 10.107797 0.075654
95 67.401497 46.094041 10.620288 0.077695
96 67.401497 45.342815 11.134805 0.078682
97 67.401497 45.513982 11.152848 0.076781
98 67.401497 44.147187 12.408344 0.076671
99 67.401497 44.573276 11.999487 0.075884
100 67.401497 44.315606 11.972604 0.076273
101 67.401497 44.514115 11.949145 0.076084
102 67.401497 45.547498 12.332399 0.077055
103 67.401497 45.082439 12.843812 0.075723
104 67.401497 45.600355 12.747777 0.074107
105 67.401497 45.632331 13.280181 0.073625
106 67.401497 45.009849 14.253161 0.075657
107 67.401497 46.362227 13.208503 0.076716
108 67.401497 45.86676 13.405522 0.076481
109 67.401497 47.432361 12.23928 0.077019
110 67.401497 48.745495 11.298725 0.076906
111 67.401497 46.869539 12.852009 0.079842
112 67.401497 45.915237 13.536189 0.077408
113 67.401497 46.555371 13.075503 0.078024
114 67.401497 46.596623 12.45134 0.076582
115 67.401497 45.803567 12.228161 0.076105
116 67.401497 45.945842 12.342007 0.076874
117 67.401497 46.417294 12.862788 0.077813
118 67.401497 47.270923 12.465507 0.077093
119 67.401497 47.533895 12.341018 0.078044
120 67.401497 46.705011 13.189416 0.075821
121 67.401497 46.39587 11.959071 0.077033
122 67.608569 47.049202 11.056464 0.077787
123 67.608569 46.23637 11.178189 0.078392
124 67.608569 45.451307 11.387234 0.079209
125 67.608569 44.706518 12.382181 0.081792
126 67.608569 44.552232 12.17822 0.081845
127 67.608569 44.312068 11.655178 0.083476
128 67.608569 44.918375 11.026496 0.085994
129 67.608569 45.360121 10.434251 0.087173
130 67.608569 45.813657 10.637137 0.087859
131 67.608569 45.691072 10.815951 0.091631
132 67.608569 45.180072 11.175045 0.090492
133 67.608569 45.380497 11.788698 0.087887
134 67.608569 45.575284 11.325402 0.085564
135 67.608569 44.512914 11.504502 0.085885
136 67.608569 44.882942 11.498786 0.083417
137 67.608569 44.436807 12.422539 0.082932
138 67.608569 45.024861 12.250876 0.083913
139 67.608569 45.109688 12.51446 0.082501
140 67.608569 44.654301 13.479593 0.082929
141 67.608569 45.356292 13.100091 0.079632
142 67.608569 44.448608 13.769736 0.078371
143 67.862424 43.566394 13.803552 0.080026
144 67.862424 43.234503 14.834635 0.080249
145 67.862424 44.221076 14.547331 0.078592
146 67.862424 45.679623 14.031901 0.080276
147 67.862424 46.292228 12.897609 0.081237
148 67.862424 46.286922 12.953178 0.078152
149 67.862424 45.401844 12.704918 0.078857
150 67.862424 45.519058 12.67493 0.078441
151 67.862424 45.377352 13.698152 0.078277
152 67.862424 45.383793 13.843156 0.078213
153 67.862424 45.960465 14.003483 0.076944
