

gen best mean std div
0 43.151479 -3.270565 8.636475 0.759922
1 43.151479 0.083851 11.711685 0.744395
2 43.151479 5.352015 14.36674 0.732121
3 43.151479 12.069727 14.866827 0.721588
4 51.006643 18.4778 14.134112 0.700959
5 51.457654 23.940077 13.948037 0.678324
6 56.01585 28.592114 13.669509 0.631518
7 59.934285 32.236462 14.353007 0.600462
8 59.934285 34.958374 14.448919 0.554427
9 62.612782 38.598563 13.964344 0.489471
10 65.910404 41.571216 13.64681 0.43613
11 65.910404 44.115929 13.071205 0.344943
12 65.910404 45.854642 11.984774 0.296072
13 65.910404 48.385934 11.137679 0.195424
14 65.910404 48.561773 10.699383 0.195345
15 69.826294 49.296065 11.483799 0.172503
16 69.826294 50.182468 10.042565 0.133671
17 69.826294 50.675395 12.118388 0.093414
18 69.826294 51.291787 11.071937 0.092927
19 69.826294 51.959658 10.051844 0.091268
20 69.826294 52.220474 9.963856 0.092847
21 69.826294 52.733876 10.315796 0.092162
22 69.826294 54.096155 7.49127 0.091349
23 69.826294 54.248502 8.0463 0.090218
24 69.826294 54.717896 9.097558 0.09058
25 72.297013 54.773102 10.949051 0.088161
26 72.297013 54.745141 9.494958 0.088007
27 72.297013 54.964484 9.481414 0.090094
28 72.297013 54.894769 9.939869 0.090073
29 72.297013 55.057017 10.460225 0.089568
30 72.297013 55.733767 9.118684 0.089631
31 72.297013 56.130348 8.553485 0.088308
32 72.297013 55.63836 9.240725 0.087343
33 72.297013 56.095112 8.448926 0.088548
34 72.297013 56.013851 8.640539 0.087006
35 72.297013 55.788612 8.972768 0.085764
36 72.297013 56.632867 8.574211 0.083936
37 72.297013 56.215466 9.207874 0.084632
38 72.297013 55.554084 9.696116 0.083874
39 72.297013 55.186261 10.666572 0.082867
40 72.297013 54.833885 9.786434 0.084345
41 72.297013 54.968135 9.693299 0.084975
42 72.297013 54.089878 9.534126 0.087043
43 72.297013 54.866931 9.498497 0.090027
44 72.297013 55.136691 10.129281 0.089082
45 72.297013 56.503803 8.835285 0.090498
46 72.297013 56.32508 8.889013 0.087734
47 72.297013 55.881656 8.892426 0.088554
48 72.297013 55.490437 10.705522 0.084804
49 72.297013 56.294354 8.340882 0.084167
50 72.297013 56.061494 9.174704 0.085409
51 72.297013 55.477493 9.679296 0.086141
52 72.297013 55.182909 10.733926 0.086787
53 72.297013 55.018081 10.359806 0.086832
54 72.297013 55.675895 9.909686 0.084449
55 72.297013 56.003767 9.229071 0.083034
56 72.297013 54.94849 10.016084 0.086607
57 72.297013 55.702026 9.959466 0.085972
58 72.297013 55.30287 10.216529 0.085271
59 72.297013 55.559335 10.540348 0.086404
60 72.297013 56.263153 9.530376 0.085586
61 72.297013 55.734531 11.15085 0.087593
62 72.297013 55.596402 10.33872 0.088451
63 72.297013 55.70716 10.723074 0.090561
64 72.297013 56.380779 10.130731 0.092739
65 72.297013 56.269168 9.654363 0.092528
66 72.297013 55.707475 10.952787 0.092394
67 72.297013 56.097368 10.641554 0.091887
68 72.297013 56.747643 9.191904 0.092266
69 72.297013 56.18941 9.636199 0.09211
70 72.297013 56.441308 10.272528 0.09225
71 72.297013 56.522477 8.78759 0.092151
72 72.297013 55.211326 9.494389 0.093613
73 72.297013 53.847308 10.444577 0.095861
74 72.297013 54.952455 9.38385 0.09456
75 72.297013 55.849875 8.995593 0.096405
76 74.821376 56.448988 8.871793 0.098539
77 74.821376 56.711504 8.806582 0.094198
78 74.821376 57.281044 9.04098 0.095797
79 74.821376 57.120899 9.234177 0.097381
80 74.821376 56.772107 9.305444 0.099501
81 74.821376 56.288688 10.473906 0.099851
82 74.821376 56.271186 9.617672 0.100904
83 74.821376 56.455653 10.374983 0.102703
84 74.821376 54.861811 9.307828 0.104784
85 74.821376 56.086116 9.492913 0.103597
86 74.821376 56.531322 9.791396 0.103381
87 74.821376 56.463442 9.795521 0.102261
88 74.821376 56.802267 9.404994 0.102069
89 74.821376 56.181301 10.684154 0.101547
90 74.821376 56.855405 10.103236 0.100535
91 74.821376 57.41468 9.609128 0.101478
92 74.821376 57.999037 9.362579 0.100235
93 74.821376 58.852201 9.20786 0.099664
94 74.821376 58.494471 8.756271 0.102448
95 74.821376 57.884001 9.98235 0.103446
96 74.821376 57.825807 9.613307 0.103376
97 74.821376 58.190247 10.045948 0.101978
98 74.821376 59.051586 10.045007 0.101435
99 74.821376 58.705418 9.866554 0.100435
100 74.821376 58.806087 9.964325 0.100626
101 74.821376 58.8379 9.45599 0.101678
102 74.821376 57.625993 10.03728 0.098742
103 74.821376 57.045292 10.367512 0.100206
104 74.821376 57.324453 10.203289 0.101853
105 74.821376 57.427961 10.789639 0.099755
106 74.821376 57.59776 9.783369 0.09767
107 74.821376 58.291839 9.673508 0.09986
108 74.821376 59.440988 9.608918 0.100394
109 74.821376 58.783713 9.266356 0.100729
110 74.821376 58.258165 10.193981 0.101729
111 74.821376 57.685705 10.591889 0.103683
112 74.821376 57.46915 10.283074 0.105771
113 74.821376 57.92593 9.669772 0.10893
114 74.821376 58.187012 10.181376 0.109254
115 74.821376 58.617759 10.53802 0.109188
116 74.821376 58.599206 10.316216 0.109452
117 74.821376 58.992885 10.983774 0.10839
118 74.821376 59.514405 10.423996 0.10758
119 74.821376 58.462362 10.454011 0.106439
120 74.821376 59.048749 10.478899 0.103196
121 74.821376 58.784217 10.043649 0.103572
122 74.821376 57.982208 9.976578 0.102116
123 74.821376 58.746084 9.537211 0.101238
124 74.821376 58.589981 9.820389 0.101322
125 74.821376 58.443774 11.008538 0.101177
126 74.821376 59.443168 9.961339 0.100672
127 74.821376 59.25606 9.764869 0.099216
128 74.821376 59.78554 9.610258 0.099087
129 74.821376 58.512896 10.247917 0.100428
130 74.821376 58.676023 10.049781 0.102727
131 74.821376 58.968652 9.760976 0.101625
132 74.821376 58.656124 9.505539 0.102543
133 74.821376 58.705291 9.518456 0.104497
134 74.821376 58.657383 9.518414 0.102751
135 74.821376 59.239459 9.025352 0.10485
136 74.821376 58.22796 9.141442 0.104903
137 74.821376 58.228056 9.57309 0.106091
138 74.821376 58.929558 9.924551 0.10599
139 74.821376 59.119529 9.035353 0.105969
140 74.821376 59.471509 8.507083 0.106703
141 74.821376 59.470803 8.968145 0.108147
142 74.821376 59.304371 8.465399 0.108958
143 74.821376 58.945907 8.498118 0.11093
144 74.821376 58.857005 8.887222 0.11284
145 74.821376 58.587533 9.119662 0.11167
146 74.821376 57.931859 8.789255 0.111469
147 74.821376 57.662627 9.411207 0.11089
148 74.821376 57.664996 9.509585 0.112945
149 74.821376 57.579335 9.419135 0.110655
150 74.821376 57.993712 8.918271 0.113121
151 74.821376 58.136767 9.25509 0.111193
152 74.821376 58.139842 9.26614 0.11263
153 74.821376 57.903174 9.231261 0.114261
154 74.821376 58.288837 9.181754 0.1148
155 74.821376 58.417419 9.207018 0.113792
156 74.821376 58.282886 9.010965 0.11454
157 74.821376 58.285197 9.534653 0.112648
158 74.821376 58.185998 10.728006 0.114006
159 74.821376 57.789685 9.469203 0.113657
160 74.821376 58.469143 9.216734 0.112321
161 74.821376 58.662999 9.570574 0.112156
162 74.821376 57.772143 10.030987 0.113007
163 74.821376 58.310839 9.672152 0.111197
164 74.821376 57.97953 9.857138 0.112153
165 74.821376 58.010149 9.561572 0.111306
166 74.821376 57.949664 9.206278 0.110416
167 74.821376 58.549687 8.837044 0.108481
168 74.821376 58.07518 10.236619 0.10771
169 74.821376 57.653474 10.22861 0.108137
170 74.821376 57.575953 9.941514 0.108213
171 74.821376 57.472934 8.775076 0.110935
172 74.821376 57.073773 9.338887 0.113007
173 74.821376 55.847015 10.317297 0.112533
174 74.821376 55.455461 10.52109 0.11401
175 74.821376 56.022605 10.144093 0.110172
176 74.821376 55.986506 12.023041 0.107894
177 74.821376 57.50303 10.346011 0.109277
178 74.821376 57.956907 9.382914 0.108382
179 74.821376 57.670047 10.256036 0.109521
180 74.821376 57.79457 9.640713 0.110124
181 74.821376 57.667045 9.94343 0.112016
182 74.821376 58.222135 9.939426 0.111817
183 74.821376 58.054023 10.254696 0.112413
184 74.821376 58.661822 9.572152 0.111805
185 74.821376 58.508729 10.163317 0.112743
186 74.821376 58.220145 9.679369 0.113122
187 74.821376 58.620579 9.751427 0.111848
188 74.821376 59.051956 9.781012 0.110473
189 74.821376 59.048695 9.462926 0.112037
190 74.821376 59.372728 9.070413 0.111589
191 74.821376 59.002378 9.356771 0.112478
192 74.821376 58.831987 10.425941 0.112766
193 74.821376 59.454286 9.424306 0.113247
194 74.821376 58.61239 9.930319 0.113336
195 74.821376 59.345998 9.579879 0.11462
