

gen best mean std div
0 42.339588 -3.349081 8.386107 0.761518
1 48.685633 -0.319825 11.699471 0.749252
2 48.685633 5.239147 14.613822 0.740362
3 49.176012 11.327787 16.560936 0.726309
4 49.181491 19.645822 16.367651 0.696107
5 49.181491 26.618012 15.186811 0.646901
6 58.478006 32.253072 14.163641 0.570071
7 58.478006 35.903023 12.170736 0.47337
8 61.483131 38.511485 11.589543 0.380934
9 73.012336 41.537695 10.585892 0.304217
10 73.012336 42.608697 10.272685 0.212019
11 73.012336 43.725066 11.160715 0.189557
12 73.012336 45.299064 10.247282 0.134878
13 73.012336 46.413597 9.930772 0.136179
14 73.012336 46.906749 10.367005 0.091612
15 73.012336 47.173658 11.200868 0.094287
16 73.012336 46.695349 10.808546 0.094493
17 73.012336 47.616269 10.684941 0.094825
18 78.352142 46.64413 11.798294 0.096868
19 78.352142 48.169525 11.352317 0.096641
20 78.352142 48.934751 11.86287 0.095184
21 78.352142 48.8205 13.017133 0.093987
22 78.352142 49.447257 12.772244 0.093634
23 78.352142 49.194926 12.365061 0.094683
24 78.352142 49.560379 12.940271 0.096479
25 78.352142 50.457833 13.078822 0.096228
26 78.352142 48.777026 14.559177 0.094692
27 78.352142 51.22562 12.950524 0.09304
28 78.352142 51.462642 12.494643 0.093466
29 78.352142 50.639452 12.776397 0.092606
30 78.352142 51.865057 13.291538 0.09166
31 78.352142 50.715883 14.126998 0.089098
32 78.352142 49.9781 13.360239 0.093018
33 78.352142 50.55325 13.862906 0.091965
34 78.352142 51.504482 13.510329 0.091325
35 78.352142 52.335885 13.133345 0.091782
36 78.352142 52.971688 12.862991 0.092865
37 78.352142 52.674277 13.743894 0.093147
38 78.352142 53.461831 13.100869 0.090026
39 78.352142 55.17171 12.438263 0.087776
40 78.437378 55.521072 13.302676 0.090879
41 78.437378 55.688002 13.546934 0.090464
42 78.437378 56.366043 13.925947 0.095644
43 78.437378 55.476271 14.164885 0.098967
44 78.437378 53.308285 16.120927 0.098232
45 78.437378 54.321024 14.988986 0.10082
46 78.437378 55.214575 13.520368 0.100957
47 78.437378 54.665927 14.053243 0.10312
48 78.437378 54.383459 14.399018 0.10574
49 78.437378 53.107019 13.564349 0.102991
50 78.437378 54.128251 13.694139 0.103509
51 78.437378 54.962903 12.78111 0.10581
52 78.437378 54.74159 12.684048 0.108989
53 78.437378 54.692503 13.653105 0.110604
54 78.437378 54.592404 13.870018 0.109369
55 78.437378 54.881603 13.080914 0.106193
56 78.437378 55.46314 12.168769 0.10248
57 83.846379 56.153691 12.519882 0.099443
58 83.846379 56.157628 12.624451 0.103759
59 83.846379 56.247839 13.390284 0.105786
60 83.846379 56.969306 12.439275 0.104942
61 83.846379 55.884669 12.919679 0.107613
62 83.846379 54.464404 13.45131 0.112439
63 83.846379 54.92578 13.475342 0.116779
64 83.846379 54.378494 14.025511 0.119572
65 83.846379 55.246791 15.007494 0.122273
66 83.846379 56.422344 14.319109 0.124155
67 83.846379 56.035139 15.317282 0.124535
68 83.846379 57.777081 13.609554 0.125417
69 83.846379 57.987129 13.130556 0.125604
70 83.846379 58.171473 12.953155 0.124827
71 83.846379 57.356019 14.399673 0.123976
72 83.846379 59.600519 13.565524 0.123153
73 83.846379 57.378837 16.053568 0.119293
74 83.846379 58.671252 14.438363 0.116214
75 83.846379 58.41477 14.240252 0.11126
76 83.846379 59.620874 13.211819 0.102437
77 83.846379 58.912761 14.674004 0.09907
78 83.846379 58.197797 14.827183 0.098554
79 83.846379 60.592164 14.058809 0.093068
80 83.846379 61.099969 13.705902 0.091512
81 84.275583 62.424506 12.72642 0.087585
82 84.275583 63.101232 11.925528 0.083869
83 84.275583 63.635158 12.404594 0.079927
84 84.275583 63.855578 11.840156 0.081086
85 84.275583 61.950293 12.875049 0.081078
86 84.275583 61.304008 13.500602 0.085287
87 84.275583 61.816056 12.661606 0.081122
88 84.275583 62.255987 13.813287 0.080969
89 84.275583 63.540175 12.452751 0.077998
90 84.275583 63.575709 11.494886 0.078829
91 84.275583 63.162067 12.945245 0.07739
92 84.275583 62.140916 13.453042 0.078184
93 84.275583 62.383305 13.619662 0.0786
94 84.275583 64.337165 12.954062 0.077662
95 84.275583 63.99405 13.813626 0.07794
96 84.275583 63.856159 13.91933 0.07761
97 84.275583 63.381203 13.684776 0.079526
98 84.275583 64.413122 12.226791 0.079546
99 84.275583 64.07882 12.19 0.080614
100 84.275583 65.339395 12.23964 0.080143
101 84.275583 65.255235 13.801706 0.079189
102 84.275583 65.571321 13.071202 0.07994
103 84.275583 66.425766 11.543977 0.079758
104 84.275583 66.990516 11.320568 0.080256
105 84.275583 67.234856 11.252944 0.079416
106 84.275583 66.493237 12.632456 0.077733
107 84.275583 64.925954 13.14663 0.077725
108 84.275583 63.676822 13.433864 0.077456
109 84.275583 64.627631 12.320774 0.078632
110 84.275583 64.43865 12.400964 0.077502
111 84.275583 64.787078 12.905688 0.079116
112 84.275583 64.545468 13.405133 0.077805
113 84.278831 65.319176 12.925706 0.079053
114 84.278831 64.999432 12.573897 0.080321
115 84.278831 63.178952 13.411395 0.081112
