

gen best mean std div
0 42.887586 -3.415154 7.450439 0.757557
1 54.821601 0.712607 12.46075 0.744543
2 54.821601 5.565051 14.860016 0.728862
3 54.821601 10.519058 16.892129 0.716745
4 67.983668 19.55417 17.906465 0.691123
5 70.114279 27.276187 19.800858 0.663011
6 78.638705 36.517108 19.587515 0.591026
7 78.872932 44.103709 19.504388 0.510831
8 78.872932 51.652488 17.617522 0.436443
9 78.872932 54.438271 17.373589 0.401927
10 78.872932 58.215765 15.377076 0.319256
11 78.872932 60.548182 14.31318 0.275361
12 78.872932 63.838084 11.930052 0.246786
13 78.872932 63.894167 11.214485 0.159838
14 78.872932 63.549837 10.087092 0.181694
15 78.872932 63.354445 12.394264 0.179146
16 78.872932 64.089743 11.995646 0.159979
17 78.872932 65.701639 9.604606 0.160229
18 78.872932 66.488536 9.35544 0.139863
19 78.872932 67.508203 8.404053 0.139347
20 78.872932 66.995045 9.226656 0.10756
21 83.969205 68.487605 9.294449 0.107902
22 83.969205 68.786225 8.62297 0.106223
23 83.969205 67.591906 9.411612 0.106406
24 83.969205 68.005125 9.385318 0.109046
25 83.969205 67.320391 11.317197 0.110974
26 83.969205 67.573233 11.139505 0.111769
27 83.969205 68.054243 10.403253 0.111272
28 83.969205 68.678503 10.258014 0.109556
29 83.969205 69.149071 10.210869 0.10916
30 84.502032 68.798224 11.083502 0.107899
31 84.502032 69.297556 11.954444 0.105547
32 84.502032 69.626043 12.511207 0.100875
33 84.502032 68.767339 12.885546 0.1027
34 84.502032 68.992463 12.84126 0.097923
35 84.502032 69.381704 11.216518 0.095084
36 84.502032 69.383386 11.286453 0.095124
37 84.502032 68.579364 11.570646 0.09652
38 84.502032 67.911665 12.285501 0.094839
39 84.502032 68.562826 11.395554 0.094986
40 84.502032 69.881989 10.539628 0.094713
41 84.502032 70.25976 9.773757 0.093956
42 84.502032 70.730675 9.037666 0.093648
43 84.502032 69.04622 11.252909 0.091843
44 84.502032 68.952662 11.317021 0.092662
45 84.502032 68.862081 12.007659 0.094806
46 84.502032 67.882238 12.246024 0.094664
47 84.502032 68.220709 12.438091 0.094133
48 84.502032 68.44315 12.784718 0.092139
49 84.502032 69.469406 11.971097 0.091579
50 84.502032 68.073323 12.356906 0.091252
51 84.502032 67.649034 12.5193 0.092935
52 84.502032 68.720463 12.197395 0.094557
53 84.502032 67.892851 12.314032 0.096136
54 84.502032 69.454253 11.60032 0.094643
55 84.502032 69.495201 10.849518 0.096846
56 84.502032 70.035643 10.54279 0.09791
57 84.502032 68.702311 12.12076 0.097251
58 84.502032 68.077504 12.625647 0.097257
59 84.502032 68.838666 12.972035 0.096363
60 84.502032 69.422744 12.789988 0.096032
61 84.502032 68.927822 13.331164 0.095917
62 84.502032 69.391817 13.718636 0.094347
63 84.502032 70.238712 12.863121 0.093344
64 84.502032 70.225982 12.789594 0.096249
65 84.502032 69.517308 13.09187 0.096249
66 84.502032 70.015935 11.997024 0.096111
67 84.502032 70.17574 11.933247 0.096371
68 84.502032 69.68042 12.077798 0.095858
69 84.502032 69.798946 11.329701 0.096452
70 84.502032 70.081746 11.491375 0.095291
71 84.502032 69.316764 12.476329 0.092766
72 84.502032 68.030168 12.915965 0.092028
73 84.877358 68.326688 13.191802 0.090931
74 84.877358 69.671912 12.584504 0.093537
75 84.877358 68.143256 13.63474 0.094683
76 84.877358 67.664509 13.389536 0.093014
77 84.877358 67.760055 13.430484 0.09247
78 84.877358 66.919874 14.112645 0.093011
79 84.877358 66.409685 14.087109 0.095437
80 84.877358 66.499937 14.266453 0.099621
81 84.877358 67.128699 13.859731 0.099408
82 84.877358 66.026283 14.719005 0.098503
83 84.877358 68.210948 13.967502 0.097519
84 84.877358 69.99431 12.747721 0.098228
85 84.877358 69.663452 12.982314 0.100152
86 85.193608 69.555641 13.460484 0.100324
87 85.193608 70.371008 12.718253 0.100328
88 85.193608 69.860521 11.720733 0.102098
89 85.193608 70.761814 10.742444 0.101273
90 85.193608 69.204479 11.554905 0.100934
91 85.193608 69.115959 13.030875 0.102865
92 85.193608 69.507003 11.789855 0.100596
93 85.193608 68.402282 13.023925 0.09967
94 85.193608 69.007868 13.169034 0.101331
95 85.193608 68.637923 13.366298 0.102842
96 85.193608 68.614451 12.878142 0.10206
97 85.193608 68.312701 12.391707 0.102417
98 85.193608 70.1946 11.001851 0.101099
99 85.193608 69.764847 11.058404 0.100613
100 85.193608 69.757507 12.180367 0.102737
