

gen best mean std div
0 29.112915 -3.838575 7.103139 0.759831
1 29.112915 -1.033867 9.168811 0.741547
2 32.026826 2.310304 10.437481 0.730573
3 46.47628 7.272924 12.983579 0.714266
4 46.47628 13.178843 12.661432 0.684794
5 46.47628 17.091877 12.15406 0.657173
6 47.379159 21.990598 12.443605 0.624187
7 47.379159 25.285613 11.886637 0.57923
8 54.596407 28.908967 11.610544 0.56044
9 54.596407 31.15914 12.350037 0.536803
10 54.651742 33.903386 12.636062 0.502449
11 54.651742 35.012489 12.265075 0.473037
12 56.910493 36.584082 12.068063 0.445319
13 59.877803 37.853092 12.226038 0.423895
14 64.590202 40.069351 12.390464 0.390807
15 64.590202 39.793744 12.935437 0.395245
16 64.590202 41.077671 12.564421 0.386841
17 64.590202 42.324147 12.343647 0.376838
18 64.590202 43.210343 11.854952 0.380042
19 64.590202 43.860064 12.017326 0.378823
20 64.590202 45.137402 11.178286 0.379835
21 64.590202 44.686255 11.123702 0.37472
22 64.590202 45.398523 10.621358 0.380705
23 64.590202 46.151891 11.148115 0.365397
24 64.590202 46.071639 11.886337 0.35275
25 64.590202 47.598724 11.249592 0.333431
26 64.590202 46.424603 11.577406 0.320813
27 64.590202 47.263238 12.15637 0.310297
28 64.590202 47.668257 12.312951 0.299962
29 64.590202 46.375649 13.52775 0.293829
30 64.590202 45.573556 13.395171 0.272474
31 64.590202 46.780056 12.23964 0.258641
32 64.590202 47.300566 12.664424 0.241332
33 70.082908 48.537577 12.578938 0.213258
34 70.082908 48.938758 12.44798 0.20151
35 70.082908 48.414803 13.093969 0.214212
36 70.082908 49.148878 12.758816 0.191375
37 70.082908 48.530992 12.831543 0.192454
38 70.082908 49.160074 12.168546 0.179997
39 70.082908 50.366419 12.34516 0.180023
40 70.082908 50.315611 12.602063 0.146491
41 70.082908 51.249656 12.883762 0.124706
42 70.114391 51.813937 12.48644 0.122947
43 70.114391 50.71615 13.592936 0.123271
44 70.114391 52.255413 13.341491 0.088975
45 70.114391 53.754732 12.126029 0.089407
46 70.114391 54.112382 12.522753 0.090582
47 70.131611 53.832566 13.290563 0.090728
48 70.131611 55.236243 12.40085 0.091735
49 70.131611 55.662227 11.910513 0.091543
50 70.131611 55.801987 11.649795 0.089145
51 70.131611 55.771348 12.334757 0.091441
52 70.131611 56.058615 11.883358 0.090874
53 70.131611 56.983637 10.766559 0.089736
54 70.131611 56.207885 11.537071 0.091036
55 70.131611 57.487212 10.409728 0.088649
56 70.131611 57.06231 11.457003 0.088467
57 70.131611 57.025348 11.049174 0.088282
58 70.131611 55.766532 12.126949 0.086977
59 70.131611 55.982969 11.751214 0.085979
60 70.131611 56.129572 11.161459 0.085184
61 70.131611 54.997345 11.76418 0.085263
62 70.139496 55.757328 11.663341 0.087013
63 70.139496 56.652314 11.014591 0.08638
64 70.139496 55.839882 11.932912 0.08641
65 70.139496 56.019492 11.171376 0.086147
66 70.139496 54.796558 11.763522 0.086644
67 70.139496 55.488207 11.359508 0.087672
68 70.139496 55.466365 12.288311 0.087223
69 74.937114 55.138797 12.828723 0.086578
70 74.937114 56.666524 11.516663 0.08779
71 74.937114 56.9068 11.306699 0.086901
72 74.942194 58.060196 10.3391 0.087808
73 74.942194 57.747918 9.722744 0.087249
74 74.942194 57.665771 10.235928 0.086379
75 75.010341 57.970521 10.752815 0.088503
76 75.010341 57.968488 11.323659 0.088439
77 75.03412 56.877296 12.864262 0.087779
78 75.03412 57.792702 12.467082 0.084992
79 75.03412 58.700537 11.28899 0.085258
80 75.03412 59.423552 10.633913 0.087247
81 75.03412 58.961362 10.979205 0.087192
82 75.03412 59.115202 10.823082 0.08703
83 75.03412 58.749061 11.609778 0.087808
84 75.03412 59.32395 11.515745 0.088552
85 75.03412 59.740919 11.162869 0.08622
86 75.036734 58.896506 12.571501 0.086488
87 75.036734 59.807899 10.505526 0.086387
88 75.036734 60.1907 9.549082 0.086723
89 75.036734 60.230447 9.834194 0.088309
90 75.036734 59.272142 10.462849 0.089113
91 75.036734 59.878092 10.662879 0.08813
92 75.036734 60.827876 8.559217 0.088438
93 75.036734 60.265222 8.808205 0.089713
94 75.036734 59.726093 9.091494 0.089931
95 75.036734 59.123836 9.637568 0.087496
96 75.036734 59.92431 8.534576 0.086103
97 75.036734 59.714428 9.019421 0.086961
98 75.036734 60.173317 9.303825 0.085363
99 75.036734 60.251344 9.985395 0.081947
100 75.036734 60.766819 9.072113 0.082171
101 75.036734 61.561448 8.919898 0.082574
102 75.036734 61.571651 8.834824 0.082557
103 75.036734 60.531573 10.636374 0.084402
104 75.036734 61.505907 9.892485 0.086236
105 75.036734 60.931804 10.321765 0.084536
106 75.036734 59.384712 11.475323 0.084889
107 75.036734 60.560662 10.561892 0.0848
108 75.036734 60.838882 10.177358 0.084712
109 75.036734 61.218365 9.455945 0.08592
110 75.036734 61.287547 9.703936 0.085935
111 75.039898 62.226518 9.149811 0.082471
112 75.047908 60.952563 11.01286 0.084107
113 75.047908 61.274274 10.207747 0.084418
114 75.047908 60.541692 10.27017 0.08501
115 75.047908 61.182292 9.355747 0.084583
116 75.047908 60.978431 10.148482 0.083788
117 75.047908 59.57441 10.390193 0.08539
118 75.047908 59.821009 10.522174 0.084987
119 75.047908 59.550311 10.527099 0.08577
120 75.047908 60.052586 10.216585 0.086921
121 75.047908 60.07708 10.66862 0.087163
122 75.047908 59.155912 11.879735 0.084552
123 75.047908 59.870487 10.931247 0.083204
124 75.047908 58.35206 12.48078 0.083839
125 75.047908 58.755262 11.351245 0.080985
126 75.047908 59.322636 10.505224 0.079965
127 75.047908 60.995135 9.252366 0.0792
128 75.047908 60.46458 10.171896 0.077747
129 75.047908 60.473129 10.308582 0.077183
130 75.047908 60.393841 11.399767 0.076934
131 75.047908 61.292472 10.611155 0.07663
132 75.047908 59.693394 12.310791 0.076039
133 75.047908 60.102363 11.97637 0.07694
134 75.047908 59.720016 11.379719 0.080716
135 75.047908 59.633623 11.468926 0.079846
136 75.047908 59.995278 10.363956 0.078766
137 75.047908 60.523031 9.777576 0.078799
138 75.047908 59.620572 11.711733 0.077701
139 75.047908 60.373913 9.514678 0.077746
140 75.047908 59.659947 10.779902 0.076977
141 75.047908 60.290213 9.425011 0.075852
142 75.047908 60.68235 8.910139 0.077227
143 75.047908 61.216729 9.151959 0.078645
144 75.047908 61.185174 9.708371 0.078149
145 75.047908 59.88788 11.287012 0.076467
146 75.047908 59.758437 11.036991 0.076959
147 75.047908 59.452733 10.131923 0.079811
148 75.047908 60.467386 10.383598 0.078279
149 75.047908 60.892541 10.305786 0.079127
150 75.047908 60.956918 9.088616 0.082026
151 75.047908 60.091234 10.114606 0.08353
152 75.047908 59.67475 10.28924 0.084869
153 75.047908 58.919015 10.502668 0.084564
154 75.047908 60.618885 8.516123 0.082924
155 75.047908 60.208898 10.259597 0.078931
156 75.047908 60.361076 10.336223 0.07721
157 75.047908 60.662633 9.893403 0.076544
158 75.047908 60.535809 9.593855 0.076411
159 75.047908 60.49889 9.952417 0.075393
160 75.047908 60.721184 9.044471 0.074785
161 75.047908 61.024984 8.750446 0.074312
162 75.047908 60.965481 8.834528 0.076454
163 75.047908 60.946606 8.917708 0.078564
164 75.047908 60.363894 9.857035 0.078085
165 75.047908 60.897817 9.591994 0.080123
166 75.047908 60.781603 8.882355 0.082083
167 75.047908 60.161506 9.871046 0.078701
168 75.047908 60.008658 9.704971 0.07774
169 75.047908 59.951877 9.467756 0.078519
170 75.047908 60.367123 8.517104 0.077823
171 75.047908 60.607539 8.109006 0.078745
172 75.047908 60.588703 8.955108 0.076617
173 75.047908 60.252651 8.840787 0.077757
174 75.047908 59.646286 8.51603 0.078641
175 75.047908 59.859168 9.866332 0.078418
176 75.047908 59.631575 9.4311 0.079011
177 75.047908 60.495214 9.187486 0.081238
178 78.630104 60.548897 10.571416 0.083549
179 78.630104 61.192419 9.448399 0.083092
180 78.630104 60.364155 9.99437 0.085139
181 78.683228 60.647683 9.938316 0.088598
182 78.683228 61.354202 9.699186 0.089708
183 78.683228 61.18172 10.200489 0.091686
184 78.683228 61.01963 9.49269 0.093993
185 78.683228 59.85138 10.520786 0.097128
186 78.683228 61.820121 8.816325 0.098173
187 78.683228 61.518067 9.241691 0.09852
188 78.683228 61.656652 9.69424 0.09975
189 78.683228 61.896444 9.949623 0.099736
190 78.683228 61.662618 11.019463 0.101844
191 78.683228 61.604919 11.203608 0.098873
192 78.683228 60.844287 10.405637 0.09963
193 78.683228 61.38277 9.757309 0.100524
194 78.683228 60.986788 11.342399 0.100954
195 78.683228 61.376402 11.557155 0.103212
196 78.683228 61.26815 11.666876 0.101921
197 78.683228 63.015966 9.803143 0.099971
198 78.683228 62.507422 10.767116 0.099298
199 79.808263 62.297766 10.678775 0.101705
