

gen best mean std div
0 43.217306 -3.082308 7.99671 0.763092
1 50.936906 0.465742 11.611096 0.750393
2 50.936906 5.65347 14.657414 0.742056
3 55.126279 12.490001 16.990265 0.727622
4 61.093152 21.270557 17.858287 0.706856
5 70.350164 30.075453 18.392862 0.657876
6 79.238984 38.099041 17.392034 0.581551
7 79.238984 42.842473 16.030306 0.536341
8 79.238984 47.121475 14.777179 0.475942
9 79.238984 51.024489 13.257815 0.427178
10 79.238984 53.204265 13.506501 0.421516
11 80.36136 53.628132 13.98949 0.431634
12 80.36136 55.079227 14.049356 0.429091
13 80.36136 56.953435 14.331406 0.42241
14 80.36136 57.181696 14.280177 0.410226
15 80.36136 58.039997 14.696949 0.38308
16 80.36136 60.697555 13.014597 0.356062
17 80.36136 61.362633 12.984159 0.330257
18 80.36136 61.925611 12.84983 0.317262
19 80.475123 62.10968 13.818712 0.305949
20 87.243643 61.704965 14.508814 0.272209
21 87.243643 63.736075 13.930431 0.244878
22 87.243643 65.241198 12.960707 0.219801
23 87.546259 66.61357 11.687452 0.211065
24 87.546259 66.627941 11.625456 0.201635
25 87.546259 65.520983 12.438226 0.167892
26 87.546259 65.685536 13.301129 0.154499
27 87.546259 65.871447 13.610207 0.140413
28 87.546259 66.34794 14.004785 0.094599
29 87.546259 65.547587 13.521754 0.095219
30 87.546259 64.740265 13.571493 0.095454
31 87.546259 64.034427 14.692664 0.094871
32 87.546259 64.28861 14.66814 0.09507
33 87.546259 64.397565 15.156904 0.094371
34 87.56201 64.119832 15.906307 0.094219
35 87.56201 64.314064 15.00522 0.094639
36 87.56201 64.04743 15.034546 0.094804
37 87.56201 63.652827 15.150935 0.096808
38 87.56201 64.960468 14.873287 0.096789
39 87.56201 65.495243 14.383648 0.096679
40 87.56201 64.951134 15.090293 0.096603
41 87.957437 65.507576 13.806951 0.097336
42 87.957437 64.763365 14.449433 0.098328
43 87.957437 63.552329 15.479274 0.098892
44 87.957437 63.021215 16.736067 0.098948
45 87.957437 63.288502 15.990395 0.100291
46 87.957437 64.15609 14.879877 0.101911
47 87.957437 63.691841 15.345559 0.101656
48 87.957437 62.845501 16.253545 0.102517
49 87.957437 64.459379 15.280849 0.102077
50 87.957437 64.695466 15.015328 0.10205
51 87.957437 65.38973 14.636178 0.103036
52 87.957437 66.546499 13.740603 0.10252
53 87.957437 67.512626 14.447135 0.100335
54 87.957437 66.291794 15.247188 0.100354
55 87.957437 67.504899 14.754854 0.099372
56 87.957437 67.344894 14.687713 0.099215
57 87.957437 67.136179 15.769273 0.099644
58 87.957437 67.137579 14.480581 0.100349
59 87.957437 67.518944 14.409294 0.099984
60 87.957437 65.456411 15.55455 0.09777
61 87.957437 66.300148 14.550644 0.098665
62 87.957437 65.996834 14.403454 0.09741
63 87.957437 64.051804 15.823806 0.096112
64 87.957437 63.708494 15.924975 0.096715
65 87.957437 63.356927 17.417936 0.097266
66 87.957437 62.341833 17.750187 0.096333
67 87.957437 63.036002 16.713878 0.096974
68 87.957437 63.077468 17.147149 0.097289
69 87.957437 64.55738 16.64046 0.095222
70 87.957437 64.46846 15.979894 0.095635
71 87.957437 64.650998 15.798176 0.097683
72 87.957437 66.175664 15.197268 0.098126
73 87.957437 64.881623 16.939036 0.098232
74 87.957437 63.968237 18.365756 0.098544
75 87.957437 65.648492 17.182551 0.098798
76 87.957437 66.418127 15.963163 0.098547
77 87.957437 65.540179 16.617325 0.0962
78 87.957437 65.388183 16.670047 0.094695
79 87.957437 65.016716 17.384727 0.092379
80 87.957437 65.003496 16.735711 0.09297
81 87.957437 64.465858 17.101665 0.092674
82 87.957437 64.52473 17.521568 0.09103
83 87.957437 65.05992 17.100078 0.089944
84 87.957437 65.902606 16.127886 0.088993
85 87.957437 65.408485 16.590103 0.088366
86 87.957437 66.366701 16.092152 0.087691
87 87.957437 66.661527 15.347317 0.088145
88 87.957437 65.426159 16.060163 0.088284
89 87.957437 64.850461 16.742279 0.086883
90 87.957437 65.537543 16.256014 0.085986
91 87.957437 66.790645 15.322991 0.08711
92 87.957437 66.18303 15.139747 0.086949
93 87.957437 64.567263 16.453249 0.086282
94 87.957437 66.157995 14.424929 0.086018
95 87.957437 64.687065 15.127487 0.084735
96 87.957437 65.401706 14.520041 0.084362
97 87.957437 64.363975 15.3718 0.085888
98 87.957437 64.816246 15.306728 0.084249
99 87.957437 63.547367 15.785699 0.086139
100 87.957437 63.020485 15.619426 0.088474
101 87.957437 63.63001 15.297879 0.08664
102 87.957437 62.845087 16.017518 0.086932
103 87.957437 63.741785 15.975664 0.087397
104 87.957437 63.01122 16.875606 0.089815
105 87.957437 62.694293 17.551854 0.089327
106 87.957437 62.672061 17.88576 0.089736
107 87.957437 60.94719 18.495143 0.091606
108 87.957437 61.825543 16.68551 0.0912
109 87.957437 61.773093 16.862029 0.093016
110 87.957437 62.234049 16.167262 0.091827
111 87.957437 62.584106 15.226796 0.092324
112 87.957437 62.933684 15.372626 0.093917
113 87.957437 62.44098 15.904832 0.094056
114 87.957437 62.901203 15.134285 0.093195
115 87.957437 63.302297 14.362456 0.094256
116 87.957437 62.426091 16.214623 0.096396
117 87.957437 64.811255 14.688843 0.095257
118 87.957437 62.876373 16.550487 0.095164
119 87.957437 62.93647 16.916817 0.096617
120 87.957437 62.362146 17.068547 0.09718
121 87.957437 62.759216 15.887157 0.097853
122 87.957437 63.159536 15.338789 0.098631
123 87.957437 63.895924 15.290524 0.09999
124 87.957437 64.48559 16.162687 0.097622
125 87.957437 65.747846 14.903957 0.097581
126 87.957437 64.649666 15.878613 0.095878
127 87.957437 64.497853 15.539739 0.094934
128 87.957437 64.759916 16.19675 0.093225
129 87.957437 63.755301 16.892428 0.092059
130 87.957437 63.831767 16.984225 0.092624
131 87.957437 63.311973 16.632288 0.091933
132 87.957437 65.136268 16.197492 0.091325
133 87.957437 65.140395 15.707126 0.089496
134 87.957437 63.71331 16.283895 0.088931
135 87.957437 64.360179 16.576102 0.089503
136 87.957437 63.458949 16.793346 0.086837
137 87.957437 63.910303 16.310171 0.08688
138 87.957437 63.476383 16.153739 0.085852
139 87.957437 63.210817 17.432925 0.087947
140 87.957437 63.959097 16.661298 0.087235
141 87.957437 64.168001 17.153917 0.085095
142 87.957437 64.665583 16.350625 0.087083
143 87.957437 65.315798 16.474616 0.084481
144 87.957437 64.07165 16.893309 0.086167
145 87.957437 63.829038 16.515055 0.088088
146 87.957437 63.837596 16.460386 0.087006
147 87.957437 64.150108 16.798811 0.088261
148 87.957437 65.405561 16.747291 0.086322
149 87.957437 66.007058 15.309967 0.085099
150 87.957437 66.459447 15.280195 0.084453
151 87.957437 66.468607 14.936706 0.084579
152 87.957437 65.102864 16.206416 0.08445
