

gen best mean std div
0 49.187883 -3.961783 7.539857 0.76141
1 49.187883 -1.319653 10.489567 0.748294
2 49.21463 3.212892 13.454058 0.741714
3 64.414915 10.094673 16.203833 0.732519
4 64.455799 17.474422 18.707052 0.715451
5 74.864849 27.504628 19.401344 0.665109
6 78.409931 33.491675 20.303668 0.60635
7 78.409931 40.054717 20.455906 0.530666
8 78.409931 45.275219 19.102718 0.443773
9 78.409931 50.015258 18.067566 0.34159
10 78.409931 52.857169 16.358137 0.249627
11 78.409931 54.767845 14.896411 0.177652
12 78.409931 56.115419 13.869369 0.131555
13 78.409931 57.080865 14.355979 0.092932
14 78.409931 56.141476 15.623737 0.094292
15 78.409931 56.687828 15.047001 0.093831
16 78.409931 56.346679 15.833253 0.093715
17 78.409931 57.380461 15.613842 0.095269
18 78.740128 58.044327 16.128386 0.095018
19 78.740128 58.853336 15.746934 0.095884
20 78.740128 58.897742 15.983981 0.096931
21 78.740128 59.167442 15.45684 0.096828
22 78.740128 58.205963 16.336302 0.099059
23 78.740128 58.279899 16.371442 0.098957
24 78.740128 59.088238 16.788197 0.098325
25 78.740128 58.870717 15.70186 0.097909
26 78.740128 60.220701 15.217008 0.09803
27 78.747947 60.133798 15.451373 0.098302
28 78.747947 60.735352 15.554884 0.09631
29 78.747947 60.546402 15.862468 0.097198
30 78.747947 61.135447 15.223565 0.097503
31 78.747947 60.871321 15.424128 0.098456
32 78.747947 61.469092 14.920291 0.098197
33 78.747947 60.493376 15.90218 0.096524
34 78.747947 60.80065 15.548051 0.096217
35 78.747947 60.897124 16.341215 0.095626
36 78.747947 61.46126 15.884844 0.094832
37 78.747947 60.319882 15.51194 0.095046
38 78.747947 60.907883 15.567396 0.096294
39 78.747947 61.880915 14.568253 0.095649
40 78.748592 62.538052 14.295981 0.095358
41 78.748592 62.297467 14.57434 0.094735
42 78.748592 63.028126 14.241941 0.096042
43 78.748592 62.183715 14.882167 0.096857
44 78.753305 61.264626 15.638924 0.097012
45 78.753305 61.841235 15.638482 0.096456
46 84.564623 62.871267 15.147329 0.095544
47 84.564623 63.94769 14.813572 0.094374
48 84.564623 64.612761 14.144793 0.095607
49 84.564623 63.061672 14.954519 0.096892
50 84.564623 62.313898 14.841251 0.095679
51 84.564623 62.994153 14.585037 0.095134
52 84.564623 64.157849 13.856523 0.093016
53 84.564623 63.275523 14.16092 0.092848
54 84.564623 64.340608 13.919877 0.092039
55 84.564623 63.525856 15.022871 0.091076
56 84.564623 62.588147 15.358715 0.091175
57 84.564623 62.891166 15.11022 0.091758
58 84.564623 62.81402 15.585199 0.090457
59 84.564623 63.378455 15.530293 0.089767
60 84.564623 63.090299 15.454432 0.088126
61 84.564623 63.375272 14.492863 0.087445
62 84.564623 64.650853 14.003902 0.086064
63 84.564623 65.05512 13.437339 0.085531
64 84.564623 63.818369 14.104419 0.086075
65 84.564623 63.72736 13.74922 0.085859
66 84.564623 63.853217 13.551048 0.085729
67 84.564623 63.851457 13.730807 0.08631
68 84.564623 64.47264 13.118058 0.087574
69 84.564623 64.165978 13.770568 0.087316
70 84.564623 63.346647 13.923876 0.087693
71 84.586002 63.76379 13.724318 0.08784
72 84.586002 64.237184 13.950943 0.087508
73 84.586002 63.097467 14.751914 0.088124
74 84.586002 63.527722 14.554968 0.087474
75 84.586002 63.765855 14.396284 0.088958
76 84.586002 63.596872 14.265527 0.08869
77 84.586002 62.602037 14.079174 0.088009
78 84.586002 62.339773 14.818059 0.086598
79 84.586002 62.344933 14.303505 0.087137
80 84.586002 62.042138 14.956602 0.087532
81 84.586002 61.700419 14.79457 0.088333
82 84.586002 61.963134 14.874106 0.089634
83 85.376797 61.109995 15.620749 0.090259
84 85.376797 61.493942 15.433038 0.090175
85 85.376797 62.233696 15.103432 0.09123
86 85.376797 60.930749 15.311579 0.092744
87 85.376797 61.235109 14.768924 0.093839
88 85.376797 61.183496 14.588048 0.096283
89 85.376797 61.99119 14.965277 0.09799
90 85.376797 60.671066 15.179423 0.100017
