

gen best mean std div
0 25.12844 -4.346082 4.867595 0.756461
1 37.269578 -1.773886 8.640138 0.744449
2 37.269578 1.480204 10.903917 0.736869
3 37.273969 6.183895 12.345006 0.717406
4 37.273969 11.183781 12.944735 0.682551
5 37.273969 16.171284 11.250271 0.64442
6 37.29371 19.970011 10.005979 0.600076
7 37.29371 22.11732 8.79671 0.55298
8 37.29371 24.360907 8.464158 0.491473
9 37.29371 26.247686 7.260679 0.450777
10 41.421346 27.347322 7.197254 0.402214
11 54.82501 28.422964 7.312861 0.366103
12 54.82501 28.147202 8.161711 0.34133
13 54.82501 27.76371 8.649777 0.320208
14 54.82501 27.41332 9.016272 0.294868
15 54.82501 27.487349 10.008862 0.255717
16 54.82501 28.659856 8.789447 0.229322
17 54.82501 28.931128 9.400523 0.160644
18 54.82501 29.619574 9.109398 0.086869
19 54.82501 29.924227 9.545706 0.087385
20 54.82501 30.426623 10.279629 0.088395
21 54.82501 30.868326 10.344542 0.088753
22 54.82501 30.307172 11.237129 0.089191
23 54.82501 30.46675 11.584235 0.089947
24 54.82501 30.242564 11.114805 0.091406
25 54.82501 30.802189 11.249313 0.08995
26 54.82501 30.774684 11.676582 0.089359
27 54.82501 31.466516 11.730031 0.088951
28 54.82501 31.494592 11.6659 0.088471
29 54.82501 30.906006 12.989348 0.088422
30 54.82501 32.057779 12.221975 0.087196
31 54.82501 32.592834 12.15816 0.086742
32 54.82501 32.432812 12.676575 0.084529
33 54.82501 31.761156 13.086616 0.082395
34 54.82501 31.827186 13.507698 0.082775
35 54.82501 32.634836 13.085277 0.08244
36 54.82501 32.934646 13.299527 0.082059
37 60.922335 33.10562 13.117337 0.082185
38 60.922335 33.466939 13.022259 0.083817
39 60.922335 32.888623 14.253973 0.084579
40 60.922335 34.045263 13.413855 0.082913
41 60.922335 34.609846 12.858374 0.083718
42 60.922335 35.252536 12.690478 0.082757
43 60.922335 35.063495 13.039792 0.082228
44 60.922335 35.49869 13.315118 0.082592
45 60.922335 35.102579 13.666236 0.080934
46 60.922335 35.504294 13.564525 0.079937
47 60.922335 34.741639 15.076739 0.077985
48 60.922335 35.228008 14.84186 0.077318
49 60.922335 35.599463 14.864508 0.075367
50 60.922335 36.16562 15.230273 0.075355
51 60.922335 36.228973 15.266733 0.075232
52 60.922335 36.778343 14.368136 0.074672
53 60.922335 36.416812 15.051353 0.073524
54 60.922335 35.716466 15.862664 0.072801
55 60.922335 36.436206 15.257509 0.073651
56 60.922335 35.83678 15.751131 0.072073
57 60.922335 35.967973 15.699618 0.072676
58 60.922335 36.83578 15.256414 0.070284
59 60.922335 37.013516 15.543273 0.068788
60 60.922335 37.043393 16.171558 0.065382
61 60.922335 38.058878 15.568304 0.065432
62 60.922335 37.755726 16.443401 0.064418
63 60.922335 37.342721 16.849578 0.063871
64 60.922335 36.473578 18.222886 0.063799
65 60.922335 36.896417 17.819135 0.064707
66 60.922335 35.875661 17.981649 0.064214
67 60.922335 35.394367 18.301711 0.064855
68 60.922335 36.488503 17.610866 0.063495
69 60.922335 37.089962 17.299729 0.059895
70 60.922335 37.041028 17.326628 0.060671
71 60.922335 37.339905 16.889678 0.059912
72 60.922335 38.034332 16.843751 0.056135
73 60.922335 38.332871 16.397281 0.056605
74 60.922335 38.211856 16.932182 0.057017
75 60.922335 37.803251 16.826232 0.056217
76 60.922335 38.061651 16.973779 0.054877
77 60.922335 38.394233 17.138785 0.053319
78 60.922335 38.929119 17.240512 0.050817
79 60.922335 38.813884 16.832668 0.052065
80 60.922335 39.745275 16.472268 0.050901
81 60.922335 39.449951 16.673582 0.050693
82 60.922335 38.93073 16.93643 0.05022
83 60.922335 37.531334 19.036802 0.049227
84 60.922335 37.128745 19.359228 0.048627
85 60.922335 37.845703 18.678677 0.04895
86 60.922335 39.109962 17.72513 0.047546
87 60.922335 39.284241 17.567728 0.046799
88 60.922335 38.583705 17.935818 0.046757
89 60.922335 39.526726 17.395988 0.046131
90 60.922335 38.883374 17.885216 0.046782
91 60.922335 37.870959 18.1107 0.047927
92 60.922335 38.468275 17.92956 0.047775
93 60.922335 38.831524 17.389544 0.048247
94 60.922335 38.892505 17.510736 0.048306
95 60.922335 38.750989 18.017233 0.048036
96 60.922335 39.018778 17.76721 0.048122
97 60.922335 39.484157 17.27158 0.047183
98 60.922335 39.355553 18.012332 0.046815
99 60.922335 39.497437 17.672364 0.045585
100 60.922335 39.848926 17.331026 0.045974
101 60.922335 39.556106 18.332461 0.04618
102 60.922335 40.334667 16.735414 0.046583
103 60.922335 38.966691 18.230454 0.046627
104 60.922335 39.189526 18.462206 0.046617
105 60.922335 40.799622 17.05982 0.045193
106 60.922335 41.864849 16.469765 0.046127
107 60.922335 40.642581 17.55349 0.046277
108 60.922335 40.538185 17.601807 0.046538
109 60.922335 40.464103 16.797891 0.046922
110 60.922335 40.522692 17.026966 0.046641
111 60.922335 40.5428 17.293932 0.046167
112 60.922335 40.070652 17.715004 0.045758
113 60.922335 39.892271 17.266282 0.045972
114 60.922335 40.69337 17.079562 0.045273
115 60.922335 39.241681 17.912955 0.045681
116 60.922335 39.344959 17.386591 0.04545
117 60.922335 39.190022 17.715728 0.044511
118 60.922335 39.434296 17.926281 0.04387
119 60.922335 40.329758 17.205199 0.044381
120 60.922335 40.42252 17.089776 0.045385
121 60.922335 39.893394 17.349693 0.04617
122 60.922335 40.168019 16.568222 0.047198
123 60.922335 40.06542 17.266631 0.047752
124 60.922335 40.074604 17.197686 0.047162
125 60.922335 40.401931 16.943822 0.047455
126 60.922335 41.947918 15.674047 0.047722
127 60.922335 41.371937 16.431227 0.046987
128 60.922335 40.533639 17.192517 0.047194
129 60.922335 39.612405 17.584357 0.04825
130 60.922335 38.535935 18.291242 0.049574
131 60.922335 39.669305 17.557234 0.048077
132 60.922335 39.253046 17.700304 0.047846
133 60.922335 37.386641 18.271877 0.048798
134 60.922335 38.211469 17.978773 0.049187
135 60.922335 38.811837 17.392691 0.048732
136 60.922335 38.79616 17.131261 0.049044
137 60.922335 39.279152 16.665709 0.049064
138 60.922335 39.249531 16.375172 0.049353
139 60.922335 39.460733 16.462903 0.049157
140 60.922335 39.889505 16.396443 0.048038
141 60.922335 39.553652 17.163827 0.047813
