

gen best mean std div
0 19.960374 -4.242927 5.068002 0.76126
1 19.960374 -2.441505 6.479062 0.748966
2 37.367181 0.570887 9.263797 0.73444
3 46.931587 4.724431 11.534111 0.720719
4 46.931587 9.267789 12.537782 0.695716
5 77.463338 14.74638 15.171034 0.652137
6 77.463338 18.084709 15.847316 0.618726
7 87.174034 21.974681 18.820457 0.57729
8 87.174034 25.250177 19.445582 0.520218
9 87.174034 26.936099 20.324573 0.47653
10 87.174034 28.128017 20.746459 0.421217
11 87.174034 33.158202 21.67209 0.333846
12 87.174034 35.870966 22.926151 0.274734
13 87.174034 38.172895 24.1636 0.261481
14 87.174034 39.62314 24.548934 0.200327
15 87.174034 41.041804 25.02223 0.177282
16 87.174034 42.23801 26.749231 0.144909
17 87.416782 44.007831 26.797135 0.14471
18 87.416782 44.333407 27.599395 0.136214
19 87.416782 44.580355 27.974998 0.113334
20 87.416782 45.378142 28.885944 0.080461
21 87.416782 49.140753 27.894373 0.080049
22 87.416782 52.080079 26.366804 0.079623
23 87.416782 51.702292 27.571026 0.077069
24 87.416782 53.983406 27.203576 0.076871
25 87.416782 54.072332 27.669458 0.075367
26 87.416782 54.671715 27.547796 0.073167
27 87.416782 54.387166 28.658834 0.072386
28 87.416782 57.015377 27.848726 0.071334
29 87.416782 57.122614 28.398721 0.071155
30 87.464912 58.525992 26.869267 0.068356
31 87.464912 61.808259 26.443053 0.06627
32 87.464912 63.108007 26.456573 0.063605
33 87.464912 61.581336 27.046529 0.062576
34 87.464912 59.608774 28.363829 0.063388
35 87.464912 59.250987 28.487623 0.062835
36 87.464912 62.475237 27.253747 0.061295
37 87.569933 61.737461 29.256939 0.058839
38 87.569933 62.550352 29.01729 0.060617
39 87.583133 64.993528 27.153744 0.05817
40 87.583133 62.511926 28.411977 0.059427
41 87.583133 62.558947 28.32005 0.06071
42 87.583133 62.658386 29.168243 0.059343
43 87.583133 64.091511 28.209434 0.060073
44 87.583133 64.409093 28.637782 0.061725
45 87.583133 66.880264 26.483775 0.061385
46 87.583133 67.183246 26.907762 0.061395
47 87.583133 68.159686 25.536834 0.061308
48 87.583133 67.252727 26.361515 0.061755
49 87.651797 66.467949 26.810391 0.063489
50 87.651797 65.337627 27.634457 0.062926
51 87.651797 63.7852 28.640801 0.063088
52 87.651797 64.293279 29.239935 0.063337
53 87.651797 64.588992 29.091493 0.064276
54 87.651797 64.016501 29.528596 0.064337
55 87.651797 67.011965 27.190086 0.063946
56 87.651797 66.906795 26.510744 0.063987
57 87.651797 68.678025 24.973863 0.063804
58 87.651797 69.329857 24.589481 0.063639
59 87.651797 69.687463 24.497533 0.064881
60 87.651797 69.379765 24.969827 0.064963
61 87.651797 67.310535 26.39907 0.063564
62 87.651797 65.882923 27.964033 0.064956
63 87.651797 65.189945 28.962402 0.064179
64 87.651797 67.301607 25.880724 0.063981
65 87.651797 67.230109 26.852374 0.064502
66 87.651797 66.663621 28.553786 0.064649
67 87.651797 66.565887 27.945686 0.065738
68 87.651797 67.333008 27.480757 0.064625
69 87.651797 66.394544 29.297702 0.064818
70 87.651797 64.880596 29.712311 0.065985
71 87.651797 63.006654 31.056432 0.065543
72 87.651797 63.980501 29.266395 0.064855
73 87.651797 63.791672 29.981225 0.063954
74 87.651797 64.181837 30.865907 0.064083
75 87.651797 64.047872 29.717362 0.064051
76 87.651797 65.135586 29.453932 0.06382
77 87.651797 66.4373 29.039527 0.065489
78 87.651797 65.818065 30.909878 0.0657
79 87.651797 68.475011 28.504524 0.066346
80 87.651797 66.782693 29.874705 0.065275
81 87.651797 69.340525 28.170367 0.064085
82 87.651797 69.207843 26.618889 0.064463
83 87.651797 69.784572 26.539955 0.064368
84 87.651797 68.394656 26.851341 0.063728
85 87.651797 66.500285 28.321593 0.064451
86 87.651797 66.296447 28.063034 0.063318
87 87.651797 64.572224 29.063958 0.065582
88 87.651797 67.721062 27.151291 0.065277
89 87.651797 66.330503 28.927659 0.064895
90 87.651797 65.397009 29.717909 0.064435
91 87.651797 63.396281 31.743371 0.063901
92 87.651797 62.033482 31.520367 0.065578
93 87.651797 63.01655 30.325965 0.065988
94 87.651797 62.079378 30.876139 0.065593
95 87.672912 61.19464 30.612186 0.066375
96 87.672912 61.581663 30.437067 0.066761
97 87.672912 59.08382 31.379919 0.068548
98 87.672912 56.520877 31.985155 0.06925
99 87.672912 57.414888 31.563138 0.06948
100 87.672912 58.989036 30.288294 0.071036
101 87.672912 57.612301 30.330576 0.071899
102 87.672912 55.273395 31.842174 0.071689
103 87.672912 57.100697 31.188102 0.070096
104 87.672912 58.512112 31.075248 0.070558
105 88.250971 61.064087 30.333331 0.071983
106 88.250971 61.971626 30.18974 0.070667
107 88.250971 60.209015 31.969776 0.06959
108 88.250971 63.389546 30.46825 0.069536
109 88.250971 61.93519 31.163402 0.070583
110 88.250971 62.748354 30.463742 0.07157
111 88.250971 63.526852 30.906206 0.06962
112 88.250971 63.113774 31.1582 0.069382
113 88.250971 62.517998 31.19196 0.067372
114 88.250971 62.818533 30.907714 0.067303
115 88.250971 63.09489 31.836112 0.06786
116 88.250971 65.821624 30.28178 0.068148
117 88.250971 64.680687 31.402057 0.067135
