

gen best mean std div
0 13.647104 -4.86666 2.982814 0.763239
1 13.648782 -3.834731 4.145897 0.743624
2 13.648782 -2.07528 5.371755 0.725484
3 24.963651 0.333106 6.819135 0.718692
4 34.960946 3.021803 7.775663 0.696247
5 34.960946 5.853786 8.282924 0.669122
6 34.960946 8.361032 9.320554 0.648806
7 47.467646 11.891718 11.293186 0.608568
8 47.467646 15.165262 12.434395 0.56914
9 47.467646 17.928396 12.399575 0.525416
10 47.467646 21.021925 11.791406 0.489204
11 47.467646 22.174279 11.794502 0.435095
12 49.347441 25.047053 11.511854 0.386164
13 50.031344 26.141212 11.360329 0.360804
14 50.031344 27.232757 11.782439 0.343086
15 50.031344 27.717018 11.536341 0.281349
16 50.031344 27.771775 12.233215 0.248961
17 50.031344 27.635613 12.523194 0.186885
18 60.755356 27.596249 14.00897 0.187272
19 60.755356 29.01323 13.821737 0.154274
20 60.755356 27.804659 14.882319 0.126472
21 60.755356 29.430464 15.103739 0.126316
22 60.755356 29.419374 14.93817 0.151833
23 60.755356 31.710153 14.21654 0.151722
24 60.755356 32.259606 14.698246 0.174552
25 60.755356 32.919389 14.97208 0.175833
26 60.755356 34.45459 14.362373 0.175803
27 60.755356 35.080658 14.90012 0.121487
28 60.755356 36.40015 13.610853 0.121448
29 60.755356 36.585523 14.188307 0.078778
30 60.755356 35.740832 14.772924 0.078194
31 60.755356 36.648909 14.113512 0.077826
32 60.755356 36.459411 14.713563 0.079114
33 60.755356 36.491805 15.174064 0.076895
34 60.755356 35.625294 16.167522 0.078335
35 60.755356 36.571002 15.121501 0.077254
36 60.983231 37.282907 14.712931 0.075605
37 60.983231 37.906301 14.395603 0.075224
38 60.983231 37.611982 14.556381 0.075264
39 60.983231 38.974403 13.408039 0.074081
40 62.856494 38.949584 14.233556 0.075276
41 62.856494 38.097382 14.261002 0.073702
42 62.856494 39.161114 14.5273 0.073806
43 62.856494 38.697193 15.1954 0.072621
44 62.856494 38.489255 15.516521 0.072449
45 62.856494 39.516463 15.552686 0.070955
46 62.856494 39.414724 15.573296 0.069864
47 62.856494 38.857403 15.529703 0.070253
48 62.856494 40.045746 14.528571 0.069215
49 62.856494 38.580024 14.60593 0.068373
50 62.856494 39.496245 14.339901 0.068824
51 62.856494 37.470285 16.019151 0.068586
52 62.856494 39.284121 14.469643 0.070561
53 62.856494 39.80534 14.169563 0.072998
