

gen best mean std
0 74.740419 -0.978628 14.096796
1 88.193424 6.142987 22.945745
2 88.193424 16.837448 30.779901
3 88.193424 25.897818 33.415169
4 88.193424 36.742515 35.309969
5 88.193424 45.107645 34.429299
6 88.193424 55.065008 32.656351
7 88.193424 63.202283 28.587863
8 88.193424 68.308408 24.776723
9 88.193424 69.657598 23.153849
10 88.193424 68.129777 22.139856
11 88.193424 70.433686 19.744212
12 88.193424 72.952862 18.975162
13 88.193424 74.379422 18.423856
14 88.840905 73.576811 19.162593
15 88.840905 78.506527 12.518717
16 88.840905 79.379667 12.2485
17 88.840905 77.974524 14.145725
18 88.840905 78.703877 13.724675
19 88.840905 76.656247 16.176218
20 88.840905 75.103171 18.377065
21 88.840905 77.615629 15.713616
22 88.840905 77.673592 15.575318
23 88.840905 76.900794 16.062712
24 88.840905 74.796679 17.138706
25 88.840905 77.941643 14.787142

gen best mean std
0 91.870654 13.524403 30.498725
1 91.870654 28.112202 40.137825
2 91.870654 45.193182 43.212092
3 91.870654 56.149298 41.849587
4 91.870654 71.312616 34.779621
5 92.406939 75.626625 31.72616
6 92.406939 81.749706 25.682187
7 92.697882 85.129802 21.105585
8 92.697882 88.753521 12.761424
9 92.697882 88.684521 12.756366
10 92.895203 90.778983 1.478388
11 93.978708 90.793113 1.594566
12 93.978708 90.214303 5.40373
13 93.978708 90.307936 5.406964
14 93.978708 90.262047 5.410766
15 93.978708 90.948167 2.651595
16 93.978708 89.502117 12.55254
17 93.978708 89.844442 12.597943
18 93.978708 90.01024 12.61673
19 93.978708 91.324132 3.912246
20 93.978708 90.727251 6.278072
21 93.978708 90.316201 6.553292
22 93.978708 90.635734 7.736841
23 93.978708 90.756539 7.741458
24 93.978708 91.59347 2.52508
25 93.978708 91.983466 1.596986

gen best mean std
0 89.370571 3.434678 23.208983
1 89.398742 12.166945 32.25505
2 89.398742 25.765186 40.522832
3 89.398742 38.680357 44.900155
4 89.398742 51.863875 43.847716
5 89.398742 64.335411 39.582663
6 89.398742 71.20418 35.154979
7 89.398742 80.233133 25.912037
8 89.398742 85.125639 18.562649
9 89.398742 87.071228 13.294245
10 89.398742 87.02576 13.290325
11 89.398742 87.019602 13.28943
12 89.398742 88.813159 2.129108
13 89.398742 88.902007 2.104138
14 89.402832 89.197216 0.617542
15 89.402832 89.291833 0.448298
16 89.402832 89.294466 0.448782
17 89.402832 89.292553 0.448437
18 89.402832 89.338777 0.326541
19 89.402832 87.788437 10.857844
20 89.402832 89.339895 0.326669
21 89.402832 89.38655 0.020929
22 89.402832 89.38655 0.020913
23 89.402832 89.385516 0.021553
24 89.402832 89.383681 0.022279
25 89.402832 89.386635 0.021146
