

gen best mean std
0 88.415851 4.679443 20.824578
1 88.415851 11.367605 26.363579
2 88.415851 22.768775 31.293868
3 88.415851 35.808997 36.23959
4 88.415851 48.603714 34.828372
5 88.593424 61.884341 30.378685
6 88.793424 70.057288 24.711416
7 88.793424 73.268655 22.377896
8 88.793424 73.897917 21.844353
9 88.793424 77.724624 14.984287
10 91.559745 80.008155 12.744871
11 91.559745 80.837643 14.002647
12 91.559745 82.540396 10.085477
13 91.559745 83.930313 10.274114
14 91.559745 82.932133 10.782099
15 91.559745 80.416131 12.143883
16 91.729262 82.558603 9.89943
17 91.729262 82.085685 11.482455
18 91.729262 79.368529 13.388162
19 91.729262 80.570443 12.910727
20 91.729262 81.119723 14.060392
21 91.729262 81.63855 14.431839
22 91.729262 83.14184 12.943326
23 91.729262 85.68548 11.456289
24 91.729262 86.025924 11.088709
25 91.729262 87.245491 10.369893

gen best mean std
0 93.863558 14.105717 33.882583
1 93.863558 26.637636 42.282633
2 93.863558 41.442861 45.875612
3 94.043558 54.797566 44.748343
4 94.043558 75.558983 34.445383
5 94.043558 79.629811 30.814718
6 94.043558 83.224691 26.53511
7 94.360945 85.595592 23.395679
8 94.360945 87.793737 19.893244
9 94.360945 91.169622 13.293493
10 94.360945 93.064609 1.335888
11 94.360945 93.119392 1.281551
12 94.360945 93.281176 1.250899
13 94.360945 93.140949 2.128252
14 94.360945 93.091986 2.128217
15 94.360945 93.049483 2.10554
16 94.360945 91.079457 13.375388
17 94.360945 92.954271 2.125958
18 94.360945 93.344391 1.013996
19 94.360945 93.399574 0.947529
20 94.360945 93.438658 0.944322
21 94.360945 93.413247 0.950733
22 94.360945 93.590208 0.747125
23 94.360945 93.643567 0.763527
24 94.360945 93.653871 0.735559
25 94.360945 93.738487 0.675426

gen best mean std
0 89.370571 3.857435 21.854908
1 89.370571 13.234652 29.457918
2 89.370571 25.423759 36.937182
3 89.370571 40.796012 41.324102
4 89.370571 57.353161 40.402103
5 89.370571 67.587915 37.78851
6 89.370571 76.116714 31.12678
7 89.370571 78.124408 28.896113
8 89.370571 81.69231 23.989795
9 89.370571 85.484851 16.138785
10 89.370571 87.430716 9.517526
11 89.370571 87.515903 9.524974
12 89.370571 88.878982 0.926176
13 89.370571 88.830095 0.962474
14 89.370571 88.872835 0.938596
15 89.370571 88.922629 0.897429
16 89.370571 89.011476 0.824258
17 89.370571 88.965222 0.86661
18 89.370571 89.009015 0.829883
19 89.370571 89.097862 0.73985
20 89.370571 89.055269 0.78297
21 89.370571 89.107583 0.712704
22 89.370571 89.236563 0.530886
23 89.370571 89.280953 0.439593
24 89.370571 89.280953 0.439593
25 89.370571 89.285384 0.417327
