

gen best mean std
0 22.581159 -2.425988 7.945245
1 22.581159 1.561936 11.190267
2 56.742332 8.354307 15.990142
3 56.742332 14.583144 18.53667
4 56.742332 20.664057 21.263296
5 56.742332 29.322658 22.684692
6 56.742332 37.433234 22.547718
7 56.742332 46.766154 19.798458
8 56.742332 52.296921 15.475199
9 56.742332 52.296921 15.475199
10 56.742332 56.059109 4.782564
11 56.742332 56.059109 4.782564
12 56.742332 56.742332 0.0
13 56.742332 56.742332 0.0
14 56.742332 56.742332 0.0
15 56.742332 56.742332 0.0
16 56.742332 56.742332 0.0
17 56.742332 56.742332 0.0
18 56.742332 56.742332 0.0
19 56.742332 56.742332 0.0
20 56.742332 56.742332 0.0
21 56.742332 56.742332 0.0
22 56.742332 56.742332 0.0
23 56.742332 56.742332 0.0
24 56.742332 56.742332 0.0
25 56.742332 56.742332 0.0

gen best mean std
0 92.80521 11.706165 30.157089
1 92.80521 23.310843 38.639428
2 92.80521 39.782431 43.685197
3 92.80521 58.001709 42.713859
4 93.348788 68.709912 38.534386
5 93.348788 77.388208 32.534841
6 93.348788 84.707679 23.724868
7 93.348788 86.741542 20.321918
8 93.348788 88.244774 17.979262
9 93.348788 88.204493 17.973943
10 93.348788 90.150515 12.606276
11 93.348788 92.074506 1.50727
12 93.348788 92.112875 1.504318
13 93.348788 92.154891 1.496756
14 93.348788 92.238488 1.433563
15 93.348788 92.324068 1.243756
16 93.348788 92.523212 0.39318
17 93.348788 92.534311 0.346228
18 93.439361 92.543978 0.361336
19 93.439361 91.267826 8.84682
20 93.439361 91.26598 8.851678
21 93.439361 89.879118 13.3525
22 93.439361 92.493715 0.559715
23 93.439361 92.533192 0.545228
24 93.439361 92.497668 0.588148
25 93.439361 92.379946 0.711263

gen best mean std
0 87.199358 4.509678 25.051871
1 88.001063 13.186372 33.270344
2 88.001063 28.233243 41.205018
3 88.001063 41.178826 43.537399
4 88.001063 55.405266 40.664056
5 88.001063 65.027134 37.72011
6 89.656456 77.808886 26.07607
7 89.656456 79.111022 24.800408
8 90.679688 84.116413 16.611658
9 90.679688 84.195123 16.626833
10 90.679688 81.708202 20.742039
11 90.679688 85.120898 13.108111
12 90.679688 85.172372 13.120928
13 90.679688 85.176521 13.133066
14 90.679688 83.74942 15.870298
15 90.679688 84.58787 13.720834
16 90.679688 83.87711 15.903178
17 90.679688 83.875128 15.896811
18 90.679688 86.444735 9.406954
19 90.679688 86.349542 10.695565
20 90.859688 83.816988 15.890235
21 90.859688 81.261043 20.082132
22 90.859688 81.121462 20.032624
23 90.859688 82.368061 18.090499
24 90.859688 83.392875 16.561222
25 90.859688 82.190881 18.744288
