

gen best mean std
0 30.179917 -0.230878 10.382185
1 30.179917 4.925383 13.213063
2 30.179917 10.188677 14.509521
3 30.179917 15.998036 14.060999
4 30.179917 18.578392 13.547166
5 30.179917 21.758007 12.839822
6 30.179917 24.070396 10.932462
7 30.179917 27.106836 7.708365
8 30.179917 28.66315 5.522772
9 30.179917 28.84315 5.421683
10 30.179917 29.1471 5.273067
11 30.179917 29.1471 5.273067
12 30.179917 29.1471 5.273067
13 30.179917 30.027942 1.063826
14 30.179917 30.179917 0.0
15 30.179917 30.179917 0.0
16 30.179917 30.179917 0.0
17 30.179917 30.179917 0.0
18 30.179917 30.179917 0.0
19 30.179917 30.179917 0.0
20 30.179917 30.179917 0.0
21 30.179917 30.179917 0.0
22 30.179917 30.179917 0.0
23 30.179917 30.179917 0.0
24 30.179917 30.179917 0.0
25 30.179917 30.179917 0.0

gen best mean std
0 92.394865 13.100616 32.017085
1 92.394865 29.801012 41.423641
2 92.394865 46.763965 43.850971
3 92.394865 64.926487 39.577885
4 93.674024 74.175799 34.968433
5 93.678253 82.997513 26.669754
6 93.803558 84.965714 23.838219
7 94.235214 88.757315 16.41743
8 94.235214 90.87061 10.188216
9 94.235214 92.372473 0.978543
10 94.235214 90.846369 9.987651
11 94.235214 90.934342 9.996314
12 94.235214 91.674054 4.862878
13 94.235214 89.888171 13.419787
14 94.235214 90.573482 9.007159
15 94.235214 90.550193 9.005724
16 94.235214 91.649024 4.83314
17 94.235214 92.341897 0.755411
18 94.235214 92.350177 0.83709
19 94.235214 92.504291 0.794796
20 94.235214 92.547793 0.780375
21 94.235214 92.583984 0.785502
22 94.235214 92.676746 0.820501
23 94.235214 92.145013 2.558934
24 94.240945 92.598709 1.056035
25 94.360945 92.595433 1.24569

gen best mean std
0 87.151054 2.494508 23.308447
1 87.151054 9.289269 29.781094
2 87.151054 17.902298 35.16816
3 87.151054 29.029866 40.22859
4 87.151054 40.158908 42.734523
5 87.193853 56.089215 40.726218
6 87.193853 64.587561 37.184219
7 87.193853 72.960044 31.307204
8 87.193853 78.165059 25.454778
9 87.237882 81.52101 20.154482
10 87.237882 83.197345 16.798629
11 87.433853 84.879948 12.351936
12 87.433853 86.558061 4.239236
13 87.433853 83.214137 16.821456
14 87.433853 81.540199 20.167393
15 87.433853 83.824792 16.39405
16 87.433853 87.171091 0.097207
17 87.433853 82.154751 19.863898
18 87.433853 83.829333 16.404229
19 87.433853 80.487009 22.698121
20 87.433853 85.507183 11.721071
21 87.433853 83.834333 16.395151
22 87.433853 83.837911 16.395864
23 87.433853 83.841193 16.396435
24 87.433853 85.522096 11.694642
25 87.433853 83.841828 16.398255
