

gen best mean std
0 30.829516 1.920304 12.46723
1 48.179917 8.048811 16.347885
2 48.179917 13.505597 17.88066
3 57.179917 21.229543 19.075967
4 66.179917 27.224661 20.694495
5 66.179917 29.155533 20.644348
6 66.179917 32.867628 19.814144
7 66.179917 37.089196 19.86731
8 66.179917 40.65575 17.259947
9 66.179917 42.825488 16.422699
10 66.179917 43.725488 16.834313
11 66.179917 44.744997 15.474806
12 66.179917 44.744879 15.264111
13 66.179917 44.392751 16.285953
14 66.179917 46.566792 15.410484
15 75.179917 48.358801 15.190801
16 75.179917 49.438742 15.246239
17 75.179917 50.510751 14.487196
18 75.179917 48.539443 15.05573
19 75.179917 49.799502 15.134072
20 75.179917 46.379325 16.595469
21 75.179917 47.099206 15.860696
22 75.179917 48.539206 15.584624
23 75.179917 48.539265 15.995014
24 75.179917 47.639147 16.340758
25 75.179917 47.639324 17.489983

gen best mean std
0 91.136997 9.439509 27.790308
1 93.142006 23.496367 38.4634
2 93.142006 43.334279 44.088877
3 93.223047 61.184067 41.922704
4 93.694253 72.864277 35.734522
5 93.694253 79.482698 29.837937
6 93.830514 82.868959 26.2124
7 93.904826 82.172878 26.409915
8 93.904826 86.050055 19.909248
9 93.904826 87.469607 18.572899
10 93.904826 89.587584 12.874204
11 93.904826 90.195829 11.069023
12 93.904826 91.472778 8.195255
13 93.904826 90.277939 10.738477
14 94.02272 91.764316 7.028076
15 94.02272 91.839737 7.035569
16 94.02272 91.816999 7.02681
17 94.02272 91.852251 7.021799
18 94.02272 91.855642 7.024992
19 94.02272 92.920688 0.718816
20 94.02272 92.974377 0.748974
21 94.02272 93.108888 0.736064
22 94.02272 93.135292 0.755578
23 94.02272 93.165771 0.693797
24 94.02272 92.855019 2.096932
25 94.02272 92.853429 2.092443

gen best mean std
0 89.402832 15.79968 32.442485
1 89.402832 29.820946 40.323432
2 89.402832 46.920399 42.814995
3 89.402832 57.697961 40.510756
4 89.402832 72.891616 30.527653
5 89.402832 76.645623 28.059392
6 89.402832 82.965955 20.04464
7 89.402832 87.216661 9.518254
8 89.402832 87.304671 9.527369
9 89.402832 87.493316 9.542921
10 89.402832 87.405065 9.535818
11 89.402832 85.987993 14.259349
12 89.402832 86.17407 14.287096
13 89.402832 87.724097 9.55747
14 89.402832 87.764611 9.559222
15 89.402832 87.809915 9.560835
16 89.402832 89.225392 0.540138
17 89.402832 89.226426 0.54042
18 89.402832 89.277788 0.444198
19 89.402832 89.277707 0.444175
20 89.402832 89.32341 0.324768
21 89.402832 89.321179 0.324406
22 89.402832 89.365846 0.026212
23 89.402832 89.364485 0.025452
24 89.402832 89.364485 0.025452
25 89.402832 89.364485 0.025452
