

gen best mean std
0 47.983843 0.421521 11.816252
1 47.983843 5.919469 14.988488
2 47.983843 11.766028 16.542792
3 56.849397 17.095216 18.593401
4 56.849397 22.758983 18.494192
5 56.849397 27.302143 16.601238
6 56.849397 27.287496 17.462756
7 85.917781 30.00212 20.37767
8 85.917781 31.244896 22.068918
9 86.913225 36.41436 22.879296
10 86.913225 37.149153 21.869431
11 86.913225 41.712565 23.58078
12 87.008535 46.459688 26.081854
13 87.008535 52.757534 26.634599
14 87.008535 58.503902 25.250965
15 87.008535 62.159557 24.217166
16 87.016064 66.997068 22.615013
17 87.016064 69.403097 21.631737
18 87.044163 71.903355 20.043716
19 87.044163 73.132231 20.127297
20 87.444163 75.237416 18.470627
21 87.444163 76.111735 18.239113
22 87.446757 79.812567 12.101965
23 87.446757 77.223313 13.184748
24 87.446757 75.79561 15.711741
25 87.446757 73.997819 20.049517

gen best mean std
0 89.037882 3.79001 20.974529
1 89.037882 13.027019 31.262399
2 89.037882 27.430408 38.434645
3 89.037882 44.537489 41.483691
4 89.037882 57.134346 38.360825
5 89.037882 61.857319 34.166447
6 89.037882 67.414539 31.665193
7 89.037882 71.000176 27.079693
8 89.037882 69.909205 28.497477
9 89.568788 70.459543 26.223628
10 89.568788 73.624694 24.521209
11 89.568788 73.453148 25.080269
12 89.568788 80.443905 18.652923
13 89.568788 74.107189 24.996348
14 89.568788 77.754039 22.30344
15 89.568788 78.970054 22.011898
16 89.568788 79.894948 21.494079
17 89.568788 80.725507 20.140297
18 89.568788 78.321751 22.477537
19 89.568788 74.036618 27.675374
20 89.568788 77.08317 25.324563
21 89.568788 75.545939 26.67739
22 89.568788 76.673115 25.765904
23 89.568788 81.189921 21.215456
24 89.568788 84.115274 16.402941
25 89.568788 82.883281 18.733494

gen best mean std
0 87.139358 1.07063 18.740322
1 87.139358 9.863938 29.455636
2 90.266611 22.150299 37.571618
3 90.266611 39.513631 42.697527
4 90.266611 55.712302 39.83237
5 90.266611 63.690576 36.012994
6 90.266611 72.036398 30.319839
7 90.266611 78.775673 23.39004
8 90.266611 81.823649 19.08166
9 90.266611 82.03831 19.04817
10 90.266611 83.814465 16.708172
11 90.266611 83.093437 18.752006
12 90.266611 85.294733 14.158751
13 90.266611 86.004083 8.056504
14 90.266611 82.017697 17.320038
15 90.439688 82.831325 16.346091
16 90.439688 83.882054 15.756936
17 90.439688 82.423809 17.430393
18 90.439688 81.738489 18.103658
19 90.439688 83.253638 15.786842
20 90.439688 84.807211 13.637909
21 90.439688 83.911168 15.566591
22 90.439688 85.54113 12.67508
23 90.439688 85.448843 13.534309
24 90.439688 83.946633 15.452384
25 90.439688 86.593664 10.840622
