

gen best mean std
0 56.77941 -0.246597 13.4178
1 56.77941 4.657832 17.562334
2 65.732799 11.977606 22.728905
3 86.066602 21.458032 26.506483
4 87.993424 30.294267 28.818461
5 87.993424 38.298694 30.551806
6 89.218586 47.871473 33.623248
7 89.218586 53.817323 34.559632
8 89.218586 63.512124 30.88666
9 89.218586 68.730629 25.128773
10 89.218586 71.224759 22.437909
11 89.218586 71.767192 23.226949
12 89.218586 73.383581 22.694549
13 89.218586 73.528282 23.619735
14 89.218586 73.663976 23.717694
15 89.218586 74.63216 22.132857
16 89.218586 74.492021 21.414591
17 89.218586 74.579914 20.736422
18 89.218586 72.394807 22.16323
19 89.59141 74.472414 20.890078
20 89.59141 76.042522 20.579133
21 89.59141 77.192429 17.8887
22 89.59141 79.550118 16.132279
23 89.59141 82.964149 10.346645
24 89.59141 81.636002 12.83715
25 89.59141 80.285437 16.7716

gen best mean std
0 92.394865 10.644153 29.649111
1 92.394865 20.460593 36.045552
2 92.394865 37.94659 42.002028
3 92.394865 46.822345 43.023209
4 92.394865 59.646336 42.083777
5 92.394865 70.581056 36.909408
6 92.394865 84.880046 23.050356
7 92.394865 90.02895 11.881091
8 92.394865 91.822802 1.66157
9 92.394865 91.822802 1.66157
10 92.394865 91.822802 1.66157
11 92.394865 91.857938 1.660498
12 92.394865 92.016336 1.283656
13 92.394865 92.2056 0.927204
14 92.394865 92.300233 0.662427
15 92.394865 92.300233 0.662427
16 92.394865 92.300233 0.662427
17 92.394865 92.300233 0.662427
18 92.394865 92.300233 0.662427
19 92.394865 92.300233 0.662427
20 92.394865 92.394865 0.0
21 92.394865 92.394865 0.0
22 92.394865 92.394865 0.0
23 92.394865 92.394865 0.0
24 92.394865 92.394865 0.0
25 92.394865 92.394865 0.0

gen best mean std
0 87.151054 7.362516 25.681044
1 91.422264 18.115111 33.764578
2 91.422264 31.348269 39.659044
3 91.602264 44.94223 41.081542
4 91.602264 53.480978 39.490915
5 91.602264 59.485918 37.754264
6 91.782264 68.288769 34.875854
7 91.813561 70.667524 34.590931
8 91.873561 73.835926 31.626136
9 91.873561 76.468054 28.428019
10 91.902264 76.684645 26.468446
11 91.902264 79.956274 22.576051
12 91.902264 80.852816 20.663573
13 91.902264 82.009997 21.225544
14 91.902264 80.842514 22.922976
15 91.902264 76.530526 26.231426
16 91.902264 72.511892 29.188026
17 91.902264 80.645603 22.272158
18 91.902264 77.475822 24.931673
19 91.902264 82.874129 19.228959
20 91.902264 85.634185 13.864089
21 91.902264 81.211129 20.656047
22 91.902264 83.175649 17.296278
23 91.902264 81.137378 20.940518
24 91.902264 81.095698 19.916032
25 91.902264 83.750927 17.274135
