

gen best mean std
0 85.440905 3.473523 19.148803
1 85.440905 11.18511 25.638807
2 85.440905 23.085709 28.656747
3 85.440905 30.100318 29.18024
4 85.793424 41.587349 28.205148
5 85.793424 45.141736 28.538727
6 86.39141 54.532857 24.021867
7 86.39141 55.524833 24.690987
8 86.39141 59.102118 22.749677
9 86.39141 60.008657 20.789291
10 86.793424 64.229897 19.580073
11 86.793424 67.344627 15.536764
12 86.793424 65.608586 15.995563
13 90.757367 67.54477 15.87117
14 90.757367 67.237513 16.740576
15 90.757367 67.827839 16.89614
16 90.757367 70.670453 14.829617
17 90.757367 73.594314 13.562868
18 90.757367 74.158973 15.484222
19 90.757367 74.073846 20.172087
20 90.757367 79.210791 13.987746
21 90.757367 79.036514 13.5388
22 90.757367 79.508529 12.132643
23 90.757367 79.959452 12.154308
24 90.757367 79.294944 13.565615
25 90.757367 80.792002 13.097344

gen best mean std
0 90.869013 9.247171 27.268222
1 90.869013 19.569785 35.073518
2 90.869013 35.285641 41.002871
3 90.869013 52.925145 41.796283
4 90.869013 69.548783 36.316581
5 90.869013 78.478959 29.028346
6 90.869013 81.953923 25.023963
7 90.869013 83.936605 22.287611
8 90.869013 85.74254 18.85325
9 90.869013 89.287647 10.173027
10 90.869013 90.740782 0.628199
11 90.869013 90.740782 0.628199
12 90.869013 90.740782 0.628199
13 90.869013 90.740782 0.628199
14 90.869013 90.740782 0.628199
15 90.869013 90.804898 0.448807
16 90.869013 90.804898 0.448807
17 90.869013 90.804898 0.448807
18 90.869013 90.804898 0.448807
19 90.869013 90.804898 0.448807
20 90.869013 90.804898 0.448807
21 90.869013 90.804898 0.448807
22 90.869013 90.869013 0.0
23 90.869013 90.869013 0.0
24 90.869013 90.843813 0.1764
25 90.869013 90.843813 0.1764

gen best mean std
0 87.139358 3.905018 25.959247
1 90.313561 12.814492 33.556915
2 90.313561 27.710295 40.687198
3 90.733561 41.782701 43.31717
4 90.733561 59.75846 39.605622
5 90.733561 65.474333 34.90488
6 90.733561 69.856051 32.353211
7 90.733561 72.04517 29.611306
8 90.793561 74.004919 29.017274
9 90.793561 79.030021 23.184316
10 90.793561 79.842844 21.523286
11 90.793561 82.009441 19.302667
12 90.793561 79.182968 23.33981
13 90.793561 77.66317 24.590232
14 90.853561 79.833076 21.135798
15 90.853561 80.899117 20.771774
16 90.853561 77.120494 25.011917
17 90.853561 76.443172 26.823961
18 90.853561 77.053982 26.002081
19 90.853561 80.392937 23.307878
20 90.853561 79.484187 24.01312
21 90.853561 80.730491 22.513495
22 90.853561 77.794699 25.000747
23 90.853561 78.526486 23.386131
24 90.853561 78.16842 24.114288
25 90.853561 79.367313 22.670127
