

gen best mean std
0 47.740419 4.560038 14.750162
1 47.740419 12.193853 16.294371
2 47.740419 17.130019 17.110956
3 47.740419 22.295876 16.141208
4 56.769519 27.747133 16.937924
5 65.736602 34.806105 17.647459
6 65.785392 39.876727 18.617127
7 65.785392 42.503869 19.470824
8 65.879703 46.772093 19.394403
9 85.79141 50.27671 20.122302
10 85.79141 53.321443 17.934314
11 85.79141 53.880777 18.364493
12 85.79141 55.898191 17.040706
13 85.79141 59.145965 17.315798
14 85.79141 60.435722 17.957422
15 85.79141 59.176992 19.576313
16 85.79141 58.454993 21.008997
17 90.929262 59.660337 21.738515
18 90.929262 61.349399 20.591106
19 90.929262 61.480933 22.065647
20 90.929262 60.146199 23.569427
21 90.929262 59.479414 23.064189
22 90.929262 59.794057 22.335793
23 90.929262 61.922483 21.428324
24 90.929262 66.217624 18.63062
25 90.929262 64.375037 21.000573

gen best mean std
0 92.394865 18.347535 37.763918
1 92.394865 34.303879 44.160796
2 92.394865 52.693156 44.925018
3 92.596415 65.735388 40.775765
4 92.596415 77.113688 32.721701
5 92.596415 79.148574 30.94483
6 92.596415 83.778213 25.495212
7 93.015203 85.788084 22.002451
8 93.408788 87.823671 18.294404
9 93.730119 91.767645 1.712331
10 93.730119 92.000443 1.589043
11 93.730119 92.209 1.218142
12 93.730119 92.223136 1.16103
13 93.730119 92.258916 1.160067
14 93.730119 92.301538 1.182887
15 93.730119 92.244316 1.181597
16 93.730119 92.222197 1.161193
17 93.730119 92.296021 1.179109
18 93.730119 92.254566 1.171589
19 93.730119 92.193871 1.216751
20 93.730119 92.182598 1.191379
21 93.730119 92.205584 1.21468
22 93.923536 92.36484 1.010152
23 93.923536 92.366273 1.042786
24 93.923536 92.553121 0.552844
25 93.923536 92.492262 0.727417

gen best mean std
0 87.139358 0.965611 17.930185
1 87.256175 9.56673 28.060731
2 87.306659 20.087212 35.982074
3 87.306659 34.875953 40.666388
4 87.306659 43.335188 40.765253
5 87.306659 57.637663 37.87587
6 89.530924 66.445128 32.964559
7 89.530924 71.941905 28.466312
8 89.530924 73.447945 26.674352
9 89.530924 78.681442 20.876956
10 89.530924 80.79607 19.370539
11 89.530924 80.377252 19.449327
12 89.530924 80.983466 19.184311
13 89.530924 81.715243 18.598508
14 89.530924 83.272871 16.923404
15 89.530924 82.174759 18.484894
16 89.530924 83.388428 16.955073
17 89.530924 83.486915 16.983309
18 89.530924 85.715782 13.034059
19 89.530924 84.62115 15.184202
20 89.530924 85.771724 13.044356
21 89.530924 86.577017 8.11334
22 89.530924 87.682149 0.927481
23 89.530924 87.593982 0.848704
24 89.530924 85.851367 9.067426
25 89.530924 85.808404 9.054908
