

gen best mean std
0 39.390528 -1.213674 10.871869
1 39.390528 2.264696 14.061936
2 48.379599 9.310227 18.594669
3 48.383229 15.279027 19.910933
4 48.383229 21.912258 19.632597
5 48.43548 27.279626 18.121529
6 48.439318 31.08237 15.668226
7 48.439318 31.780853 15.958575
8 48.439318 33.244862 13.690427
9 57.401578 35.083922 12.509111
10 57.439318 35.09799 13.852083
11 57.439318 37.080344 14.032427
12 57.439318 37.780941 14.154589
13 57.439318 38.123227 14.323421
14 57.439318 39.742337 13.970605
15 57.439318 39.582203 14.910694
16 57.439318 43.200814 11.910314
17 57.439318 43.18872 10.160112
18 57.439318 43.169364 11.47928
19 57.439318 43.001808 11.739225
20 57.439318 42.483913 12.599154
21 57.439318 40.35629 14.892644
22 57.439318 42.316608 13.61556
23 57.439318 42.645207 14.726369
24 57.439318 43.548805 13.017564
25 57.439318 45.527254 9.440649

gen best mean std
0 92.394865 15.510434 35.485912
1 92.394865 30.112552 43.056601
2 92.571858 54.135869 44.548245
3 92.732751 73.846966 35.814516
4 92.732751 81.508314 27.967688
5 94.000945 87.223936 18.465794
6 94.000945 91.541795 1.49848
7 94.000945 91.788628 1.239325
8 94.000945 91.874714 1.200556
9 94.000945 90.721312 9.093717
10 94.000945 90.357133 11.516898
11 94.000945 90.524008 11.520363
12 94.000945 91.996049 1.062159
13 94.000945 92.080512 0.97647
14 94.000945 92.18453 0.868384
15 94.000945 92.231986 0.873589
16 94.000945 92.337883 0.825568
17 94.000945 92.408629 0.883223
18 94.000945 92.379905 0.833181
19 94.000945 92.420541 0.95288
20 94.000945 92.400642 0.928925
21 94.115214 92.487564 0.945332
22 94.115214 92.612509 0.69654
23 94.115214 92.480047 0.675703
24 94.115214 92.435357 0.634862
25 94.115214 92.38564 0.74224

gen best mean std
0 87.297882 -0.327601 14.392558
1 87.297882 5.510354 22.36935
2 89.426611 16.254131 32.617987
3 89.426611 29.122859 41.188964
4 89.606611 48.41378 42.355086
5 89.606611 62.036123 38.686977
6 89.606611 73.650097 31.63367
7 89.606611 77.394223 27.323625
8 89.606611 83.126491 20.483907
9 89.606611 86.238208 13.139186
10 89.606611 88.085969 1.110118
11 89.606611 88.215966 1.109652
12 89.606611 88.229633 1.131717
13 89.606611 88.210326 1.13057
14 89.606611 88.282578 1.105382
15 89.606611 88.258004 1.099856
16 89.606611 88.344353 1.10937
17 89.606611 88.216629 1.110237
18 89.606611 88.449902 1.099994
19 89.606611 88.406128 1.094073
20 89.606611 88.412595 1.110888
21 89.606611 88.45037 1.105477
22 89.606611 88.399395 1.091729
23 89.606611 88.614668 1.045216
24 89.606611 88.777766 0.962834
25 89.606611 88.856448 0.931997
