

gen best mean std
0 56.750025 3.833267 17.109987
1 56.750025 9.868168 20.033766
2 56.750025 18.303293 22.320334
3 65.719604 27.016614 24.243546
4 86.39141 36.000878 27.289645
5 86.39141 47.603916 24.440763
6 86.39141 50.061019 25.314093
7 86.39141 53.808126 24.504137
8 86.39141 55.655326 24.404395
9 86.39141 57.707615 23.81576
10 86.79141 60.785644 24.131324
11 86.79141 64.428641 21.957729
12 86.79141 68.723396 21.049818
13 86.79141 71.462097 17.64292
14 86.79141 73.344955 16.604747
15 86.79141 76.08729 14.095988
16 86.79141 75.955618 14.308797
17 86.79141 75.437979 17.014094
18 86.79141 77.183634 13.124795
19 86.79141 78.482885 10.300834
20 86.79141 77.364746 11.200287
21 86.79141 77.296067 14.648975
22 86.79141 75.110564 18.370494
23 86.79141 76.298117 18.106397
24 86.79141 77.95429 14.986926
25 86.79141 77.995983 15.11341

gen best mean std
0 92.394865 13.880908 33.540844
1 92.394865 25.788993 41.938431
2 92.394865 47.756245 45.766286
3 92.394865 64.26195 41.921144
4 92.416415 73.779692 36.010648
5 92.416415 81.498491 28.557519
6 92.416415 87.221259 19.175862
7 93.55505 89.290214 13.726304
8 93.55505 89.30036 13.718935
9 93.981683 89.437185 13.727439
10 93.981683 89.525977 13.725529
11 93.981683 91.533646 1.275482
12 93.981683 91.567455 1.230279
13 93.981683 91.509682 1.463116
14 93.981683 90.757451 3.756625
15 93.981683 90.948498 3.624885
16 93.981683 91.798096 1.071745
17 93.981683 91.725573 1.265747
18 93.981683 91.703391 1.235627
19 93.981683 91.18702 3.596869
20 93.981683 91.32361 3.600082
21 93.981683 91.360871 3.597859
22 93.981683 91.952233 1.128859
23 93.981683 91.456872 3.593694
24 93.981683 90.936743 7.367346
25 93.981683 89.689321 11.15634

gen best mean std
0 87.139358 10.941578 31.861426
1 87.139358 22.451989 38.724954
2 89.068265 37.548518 43.508553
3 89.068265 49.112617 42.530741
4 89.068265 59.314274 40.4252
5 89.068265 68.33623 33.8977
6 89.930284 74.605205 27.213601
7 89.930284 74.059455 26.389215
8 89.930284 74.638264 26.548192
9 89.930284 80.451067 17.585603
10 89.930284 81.462593 14.708279
11 89.930284 80.183709 17.021988
12 89.930284 78.75476 17.50806
13 89.930284 79.777815 17.51506
14 89.930284 77.874195 20.753309
15 89.930284 77.277792 20.670471
16 89.930284 81.154262 16.204837
17 89.930284 79.513851 17.627864
18 89.930284 77.559111 20.208699
19 89.930284 77.502994 19.756212
20 89.930284 79.74967 16.173515
21 89.930284 80.949766 14.488414
22 89.930284 78.769544 17.86
23 89.930284 74.688022 22.844647
24 89.930284 76.715591 21.682203
25 89.930284 75.092791 24.110863
