

gen best mean std
0 56.74425 -1.757566 11.006088
1 56.74425 2.538213 15.582967
2 56.746171 9.318732 19.318216
3 74.734699 18.614301 24.587897
4 74.734699 27.319733 27.395125
5 74.746171 37.694321 27.579159
6 90.82619 45.592943 26.53215
7 90.82619 49.240048 25.360779
8 90.82619 55.873963 22.809293
9 90.82619 57.449897 23.507889
10 90.82619 63.46395 20.100824
11 90.82619 65.960054 19.735297
12 90.82619 67.394974 19.185941
13 90.82619 70.266192 18.16126
14 90.82619 70.04579 19.087676
15 90.82619 69.559087 21.613987
16 90.82619 67.691806 22.785835
17 90.82619 71.706194 20.056675
18 90.82619 70.136192 21.164136
19 90.82619 72.307884 18.676938
20 90.82619 71.482766 18.731993
21 90.82619 72.51356 18.540737
22 90.82619 74.583411 16.854127
23 90.82619 75.153298 16.790989
24 90.82619 77.107646 15.718852
25 90.82619 77.116921 17.690312

gen best mean std
0 90.869013 7.653122 23.240389
1 90.869013 17.096163 31.747963
2 90.869013 30.396669 39.251194
3 90.869013 43.229919 41.634279
4 90.869013 59.502119 40.43615
5 90.869013 69.358862 36.451832
6 90.869013 72.772455 35.678411
7 90.869013 77.986713 31.19642
8 90.869013 77.791033 31.67086
9 90.869013 81.138686 28.124648
10 90.869013 82.915732 26.094009
11 91.049013 80.405134 29.139215
12 91.049013 85.820597 20.253242
13 91.049013 83.896477 24.029152
14 91.049013 79.054901 29.834207
15 91.049013 76.573562 32.878496
16 91.049013 82.191635 26.10571
17 91.049013 79.694028 30.211276
18 91.049013 81.827848 27.114939
19 91.409013 83.39757 25.21471
20 91.409013 85.290307 21.691445
21 91.409013 83.73141 23.993274
22 91.409013 81.77546 27.096919
23 91.409013 83.682034 23.970784
24 91.409013 85.236958 21.713457
25 91.409013 85.277012 21.722486

gen best mean std
0 88.60363 6.635127 25.369633
1 88.60363 13.53183 29.725995
2 88.60363 21.793703 34.313278
3 88.60363 31.925186 39.39301
4 89.276685 47.207134 40.003215
5 89.336685 55.232481 39.695046
6 89.336685 63.112683 37.956207
7 89.336685 73.65959 30.806149
8 89.336685 80.128188 22.088021
9 89.444133 81.611177 19.759549
10 89.865589 82.527167 18.055252
11 89.865589 81.876585 21.541578
12 89.982056 82.38624 21.435994
13 89.982056 83.464271 17.049581
14 89.984133 82.614937 17.98136
15 90.653074 83.135528 18.652898
16 90.653074 84.451792 16.411052
17 90.653074 88.864266 1.077202
18 90.653074 88.881778 1.207647
19 90.773074 89.056664 1.086876
20 90.773074 87.360361 12.135998
21 90.773074 82.541517 22.173092
22 90.773074 85.245797 15.534209
23 90.773074 82.870545 20.156271
24 90.773074 84.757772 15.676445
25 90.773074 81.1016 21.521046
