

gen best mean std
0 65.55746 4.578717 16.740544
1 65.55746 11.14003 20.014794
2 65.55746 18.694474 22.844533
3 65.649114 27.099903 23.441801
4 65.649114 36.883404 21.002213
5 65.649114 41.650002 20.899629
6 65.881903 45.1465 20.550315
7 65.943216 49.746806 19.274001
8 65.943216 51.848651 15.32981
9 65.943216 54.841352 13.549631
10 65.943216 58.031869 9.996364
11 65.943216 56.951854 11.419755
12 65.943216 59.084626 8.534311
13 65.943216 58.036655 11.624284
14 65.943216 58.385682 10.293485
15 65.943216 59.108693 9.998511
16 65.943216 59.303349 9.868142
17 65.943216 59.474421 7.159338
18 65.943216 60.35829 6.201778
19 65.943216 59.796384 7.272995
20 65.943216 58.001374 10.844138
21 65.943216 57.13983 12.511015
22 65.943216 58.194543 11.936215
23 65.943216 58.912903 10.230994
24 65.943216 59.644564 9.434157
25 65.943216 58.592664 9.999264

gen best mean std
0 92.394865 14.712275 32.504747
1 92.394865 28.739203 41.495067
2 92.394865 44.185742 44.775073
3 92.394865 60.720347 42.183996
4 92.394865 70.498237 37.422805
5 92.394865 77.81758 31.674126
6 92.394865 85.278898 22.056382
7 92.394865 87.255759 17.793761
8 92.394865 89.535412 12.559543
9 92.394865 89.594471 12.560366
10 92.394865 89.658587 12.558526
11 92.394865 89.62927 12.553955
12 92.394865 91.671941 1.345925
13 92.394865 91.868655 1.261893
14 92.394865 92.023122 1.0926
15 92.394865 92.12763 0.89884
16 92.394865 92.158147 0.881321
17 92.394865 92.158147 0.881321
18 92.394865 92.158147 0.881321
19 92.394865 92.150437 0.883001
20 92.394865 92.193464 0.862835
21 92.394865 92.193464 0.862835
22 92.394865 92.364348 0.213619
23 92.394865 92.364348 0.213619
24 92.394865 92.364348 0.213619
25 92.394865 92.364348 0.213619

gen best mean std
0 87.057882 5.591808 22.64762
1 87.653532 17.296436 32.212102
2 89.343798 31.340475 38.341893
3 89.343798 48.524421 39.249741
4 89.523798 58.520684 34.244399
5 89.523798 63.162012 32.54416
6 91.333573 69.59422 27.404131
7 91.333573 78.274114 20.800959
8 91.333573 81.610549 16.937456
9 91.450119 80.497801 19.883832
10 91.450119 80.370259 20.829894
11 91.453573 80.24651 21.396439
12 91.453573 77.657638 24.097585
13 91.453573 77.213975 24.826361
14 91.453573 79.999052 22.326624
15 91.453573 80.637986 22.760662
16 91.453573 81.283539 21.599024
17 91.453573 81.207591 20.160772
18 91.453573 81.302225 19.137882
19 91.453573 82.185713 18.067584
20 91.453573 81.200639 20.119117
21 91.453573 81.780617 19.991633
22 91.453573 79.110908 22.814141
23 91.453573 79.569892 21.390193
24 91.453573 80.82686 19.683627
25 91.453573 75.196656 24.005772
