

gen best mean std
0 74.361432 1.31379 17.469918
1 74.378594 7.762804 23.675688
2 84.787959 17.841461 30.975965
3 85.177264 33.833147 36.545204
4 85.387959 46.819819 34.456512
5 85.387959 54.03527 31.593465
6 86.573282 56.508344 31.862408
7 86.574608 65.789784 25.698029
8 86.575935 70.822045 20.75739
9 86.575935 72.861193 17.434014
10 86.575935 75.273703 16.776794
11 86.577264 76.68945 16.071579
12 86.577264 79.494082 9.995759
13 86.577264 78.612331 11.329069
14 86.577264 79.124328 10.764741
15 86.577264 78.727117 12.027881
16 86.577264 79.56884 11.168438
17 86.577264 77.092915 12.546447
18 86.577264 77.277389 13.81597
19 86.577264 79.493324 10.237146
20 86.577264 78.381662 10.937001
21 86.577264 77.481747 12.078068
22 86.577264 76.864173 12.890763
23 86.577264 78.650709 10.876628
24 86.577264 78.206909 11.254235
25 86.577264 79.095665 10.317242

gen best mean std
0 92.394865 14.744903 35.375947
1 92.394865 30.047132 43.248776
2 92.784008 47.450976 44.90443
3 93.336168 59.842317 42.960344
4 93.336168 69.206931 38.597778
5 93.336168 76.984944 32.903274
6 93.336168 79.361049 30.774042
7 93.494823 83.230849 25.793075
8 93.494823 86.938477 19.515613
9 93.494823 88.000833 18.015636
10 93.494823 88.893861 15.454512
11 93.494823 90.2633 12.727452
12 93.494823 90.421717 12.728811
13 93.494823 90.50173 12.724612
14 93.494823 90.633407 12.724641
15 93.494823 92.48257 0.724531
16 93.494823 92.36448 0.71737
17 93.494823 92.398235 0.729874
18 93.494823 92.421745 0.696571
19 93.494823 92.493548 0.566356
20 93.494823 92.489541 0.544415
21 93.494823 92.463661 0.486743
22 93.494823 91.677402 5.209529
23 93.494823 91.728647 5.219433
24 93.494823 92.559865 0.499552
25 93.494823 92.542803 0.484988

gen best mean std
0 88.855744 4.328517 24.978741
1 92.976796 14.962805 33.878085
2 93.465064 30.429771 40.200851
3 93.465064 48.312949 39.121303
4 94.078336 55.675174 39.636406
5 94.078336 62.82586 34.724769
6 94.078336 67.282299 33.429768
7 94.078336 71.993414 31.536523
8 94.078336 79.239816 24.537031
9 94.078336 79.525701 22.00692
10 94.078336 85.807175 10.931374
11 94.078336 86.65464 10.488523
12 94.078336 86.029676 12.157368
13 94.078336 88.113678 9.924161
14 94.078336 87.99472 10.244446
15 94.078336 88.287744 9.69941
16 94.078336 88.332449 8.402635
17 94.078336 88.83332 6.897234
18 94.078336 88.919637 6.926906
19 94.078336 88.273735 7.878241
20 94.078336 88.255927 8.33812
21 94.078336 88.69371 7.540311
22 94.078336 89.807871 5.975055
23 94.078336 88.862239 8.416234
24 94.078336 89.629091 6.247731
25 94.078336 89.73933 5.920261
