

gen best mean std
0 86.39141 4.764062 17.53908
1 86.39141 12.570298 24.457991
2 86.39141 22.596384 31.496722
3 86.39141 37.365498 36.824343
4 86.39141 49.897904 36.793117
5 86.39141 62.727162 32.490679
6 86.39141 63.515782 32.80651
7 86.39141 70.655699 27.994769
8 86.39141 78.889061 19.818238
9 86.39141 78.296003 20.027433
10 86.39141 78.82195 19.333165
11 86.39141 82.920829 12.103492
12 87.567552 84.839168 6.430538
13 87.567552 83.653052 8.45189
14 87.567552 83.676575 8.461111
15 87.567552 84.340201 7.566398
16 87.567552 84.31002 6.899431
17 87.567552 83.716962 7.897313
18 87.567552 84.333543 6.908486
19 87.567552 83.740485 7.90699
20 87.567552 83.537152 8.3917
21 87.567552 83.233373 8.245806
22 87.567552 82.843534 8.599428
23 87.567552 84.832623 5.64189
24 87.567552 84.263202 6.880431
25 87.567552 84.271649 6.883297

gen best mean std
0 92.056456 9.086012 29.989672
1 92.056456 23.388893 40.38652
2 92.394865 38.456178 45.027143
3 92.394865 58.496772 43.728128
4 92.394865 70.811018 37.812524
5 92.394865 78.494759 31.790886
6 92.394865 79.126688 30.72206
7 92.394865 84.123496 24.921955
8 92.779688 89.624469 13.746506
9 92.779688 91.641633 1.327802
10 92.779688 91.716782 1.198057
11 92.779688 91.496123 1.432785
12 92.779688 90.178247 8.792134
13 92.779688 90.433297 8.794753
14 92.779688 90.423877 8.81121
15 92.779688 90.495579 8.803164
16 92.779688 91.929777 1.022835
17 92.779688 92.122131 0.74846
18 92.779688 92.009372 1.024782
19 92.779688 92.140174 0.715536
20 92.779688 92.127225 0.728795
21 92.779688 92.029289 0.960773
22 92.779688 92.156542 0.74143
23 92.779688 92.137554 0.760684
24 92.779688 92.207389 0.395691
25 92.779688 92.214123 0.345213

gen best mean std
0 87.139358 5.6415 28.019206
1 87.171858 16.167799 36.615818
2 87.171858 31.36928 42.849616
3 89.043229 46.622557 43.495708
4 89.043229 60.986221 38.340564
5 89.043229 72.689054 32.439887
6 89.163229 75.585995 30.176595
7 89.403229 76.925226 27.482956
8 89.403229 80.313999 23.030438
9 89.403229 82.924071 16.757115
10 89.403229 84.636267 12.306305
11 89.403229 84.284352 14.412094
12 89.403229 84.548362 13.701839
13 89.403229 86.86048 8.115283
14 89.403229 87.984299 1.023317
15 89.403229 88.121761 1.05041
16 89.403229 88.126681 1.055585
17 89.403229 88.173588 1.059152
18 89.403229 88.296 1.038855
19 89.403229 88.28652 1.03497
20 89.403229 87.567669 5.73887
21 89.403229 87.751179 5.758749
22 89.403229 88.491746 1.038704
23 89.403229 88.431181 1.038445
24 89.403229 88.43761 1.034011
25 89.403229 88.411533 1.054787
