

gen best mean std
0 56.879703 5.709311 17.400275
1 66.200907 13.683855 21.788871
2 66.200907 20.563312 22.968701
3 66.200907 29.320519 23.348527
4 74.757777 34.344969 24.016137
5 74.757777 40.896009 23.249275
6 74.757777 45.636529 22.81277
7 74.757777 52.752096 19.814492
8 74.759724 59.299984 18.198117
9 84.413791 61.251567 18.227814
10 84.413791 64.620196 13.82422
11 84.613791 68.200332 9.56325
12 84.613791 66.101478 15.843183
13 85.623649 68.50399 15.240901
14 86.357367 66.86619 19.669601
15 86.357367 70.837978 14.493783
16 86.357367 70.903711 15.763932
17 86.357367 71.131923 15.715849
18 86.357367 73.246051 11.995951
19 86.357367 69.188885 18.70745
20 86.357367 68.734679 22.042485
21 86.357367 69.13049 22.303531
22 86.357367 68.627417 20.780008
23 86.357367 69.066891 17.900912
24 86.357367 70.179629 16.701406
25 86.564519 68.282268 19.795999

gen best mean std
0 92.394865 10.618231 32.145114
1 92.394865 23.699617 41.530413
2 92.394865 40.943667 45.68236
3 92.394865 53.803806 45.182576
4 92.394865 67.250805 40.290918
5 92.498539 74.859877 35.498516
6 92.498539 79.707032 30.022996
7 92.498539 81.511787 27.940641
8 92.498539 82.816548 25.785899
9 92.498539 86.200578 19.72011
10 92.498539 88.935013 14.507519
11 92.498539 89.897633 12.462301
12 92.498539 90.002347 12.477457
13 92.498539 90.049629 12.472404
14 92.498539 90.127894 12.482634
15 92.498539 90.139891 12.485132
16 92.498539 90.136027 12.486939
17 92.498539 90.128688 12.486357
18 92.498539 91.915936 1.055341
19 92.498539 91.975402 0.730949
20 92.498539 91.927051 0.733326
21 92.498539 91.86591 0.769944
22 92.498539 91.918399 0.754917
23 93.755214 91.957074 0.77398
24 93.755214 91.84803 0.974487
25 93.755214 91.95923 0.961617

gen best mean std
0 89.846611 8.623823 28.879323
1 89.846611 21.459739 37.730393
2 89.846611 37.211247 41.91684
3 90.326611 51.84681 39.751503
4 90.326611 59.480208 37.8642
5 90.326611 68.396368 33.490742
6 90.326611 71.0142 30.983215
7 90.326611 77.176368 23.180065
8 90.326611 75.571687 24.542678
9 91.996695 76.704976 23.325672
10 92.416695 78.740225 21.645752
11 92.416695 77.700557 22.565427
12 92.416695 79.010375 22.545754
13 92.416695 79.6422 20.554581
14 92.416695 80.314402 19.374972
15 92.843558 80.596849 18.986329
16 92.843558 83.170906 15.350815
17 92.843558 81.599583 17.792147
18 92.843558 81.058062 17.893939
19 92.843558 82.08011 17.399065
20 92.843558 84.5932 14.700097
21 92.843558 86.285646 11.526533
22 92.843558 85.973826 12.1883
23 92.843558 86.2156 11.808644
24 92.843558 84.48641 13.942696
25 92.843558 84.292741 15.318685
