

gen best mean std
0 56.742332 -1.895759 10.759826
1 56.742332 3.228229 16.387705
2 56.742332 10.339403 21.570837
3 56.996113 19.215435 25.779688
4 65.777424 30.538078 27.26851
5 65.777424 38.208695 23.97358
6 74.742332 46.440256 21.191099
7 74.742332 50.799782 18.311271
8 74.746171 54.003052 15.192543
9 74.746171 56.513279 11.260483
10 74.746171 58.593928 7.752261
11 74.746171 59.480047 7.213764
12 74.746171 59.136545 8.303659
13 74.996113 59.338491 9.428081
14 74.996113 59.531725 9.140992
15 74.996113 59.37076 9.781554
16 74.996113 60.459689 9.484246
17 74.996113 60.83479 8.458458
18 74.996113 59.937576 9.906068
19 74.996113 59.949588 10.972675
20 74.996113 59.585158 11.774562
21 74.996113 61.035195 11.221718
22 74.996113 60.86781 11.488561
23 74.996113 59.819898 12.193555
24 74.996113 61.049559 10.639332
25 74.996113 60.021352 12.436313

gen best mean std
0 90.869013 12.257737 30.493904
1 90.869013 26.28564 39.978022
2 92.189013 44.921076 44.263072
3 92.189013 57.808408 42.288637
4 93.131732 65.600929 38.559876
5 93.131732 75.904155 30.212953
6 94.318596 79.153149 27.855972
7 94.318596 86.103327 15.530927
8 94.318596 86.938723 14.954971
9 94.318596 87.724066 14.720055
10 94.318596 87.578463 15.08796
11 94.318596 88.346024 14.782251
12 94.318596 89.656747 12.988664
13 94.318596 89.750353 13.000949
14 94.318596 89.730218 13.019102
15 94.318596 89.94953 13.025669
16 94.318596 92.166688 1.531565
17 94.318596 92.213704 1.443424
18 94.318596 91.878798 2.029935
19 94.318596 91.798415 2.141335
20 94.318596 89.757346 13.942097
21 94.318596 91.766722 2.30461
22 94.318596 92.037924 2.065836
23 94.318596 91.52682 4.284458
24 94.318596 91.425569 4.30916
25 94.318596 91.536912 4.233435

gen best mean std
0 87.139358 9.233032 29.35686
1 87.139358 22.966897 37.193837
2 87.139358 36.019224 40.17061
3 87.139358 50.749731 40.810216
4 87.139358 63.423994 36.896957
5 87.139358 70.640297 31.879097
6 87.177882 75.228408 28.196255
7 87.177882 80.673508 21.354284
8 87.177882 83.136092 18.141766
9 87.237882 83.316231 17.289199
10 87.237882 85.246831 12.934729
11 87.237882 85.244772 12.934527
12 87.237882 85.245596 12.934518
13 87.237882 85.243967 12.934222
14 87.237882 85.231878 12.932574
15 87.237882 87.072472 0.097027
16 87.237882 85.592119 10.413412
17 87.237882 85.592119 10.413329
18 87.237882 87.085243 0.08469
19 87.237882 87.080784 0.082286
20 87.237882 87.080695 0.099883
21 87.237882 87.075466 0.109541
22 87.237882 87.074607 0.121009
23 87.237882 87.072547 0.118713
24 87.237882 87.078547 0.115612
25 87.237882 87.074177 0.11906
