

gen best mean std
0 56.742332 2.29448 14.915079
1 65.866602 9.116846 20.716038
2 85.813791 19.046584 27.622002
3 87.567552 31.372621 31.991468
4 87.567552 48.064221 29.602642
5 87.567552 56.426809 26.37322
6 87.567552 61.059188 25.845587
7 87.567552 64.331644 23.889461
8 87.567552 70.451811 18.625246
9 87.567552 74.654338 16.609164
10 87.567552 78.078415 13.046294
11 87.567552 77.515423 16.481319
12 87.567552 79.243971 14.346375
13 87.567552 81.702601 13.568157
14 87.567552 79.687119 17.517853
15 87.567552 81.944846 13.316765
16 87.567552 81.285981 15.029441
17 87.567552 82.540145 13.190618
18 87.567552 82.569831 13.208449
19 87.567552 83.38335 7.730564
20 87.567552 83.016616 8.122716
21 87.567552 82.559874 8.436052
22 87.567552 82.607779 8.457782
23 87.567552 82.112088 8.71621
24 87.567552 81.698703 8.991577
25 87.567552 82.919163 8.074415

gen best mean std
0 93.003942 12.63617 31.934571
1 93.003942 26.761609 40.275028
2 93.171858 47.016236 43.948742
3 93.859465 56.237996 43.110038
4 93.859465 65.640653 39.728382
5 93.859465 76.331655 32.941971
6 93.859465 80.104873 28.575041
7 93.859465 84.247235 22.125506
8 93.859465 87.322518 17.226925
9 93.859465 90.557091 7.557307
10 93.859465 91.884132 1.760532
11 94.146794 92.160905 1.577355
12 94.146794 92.455604 1.210827
13 94.146794 92.611226 1.038741
14 94.146794 92.586418 1.146462
15 94.146794 92.646778 1.229888
16 94.146794 92.579873 1.164083
17 94.146794 92.60988 1.15809
18 94.146794 92.567663 1.145957
19 94.146794 92.559861 0.988168
20 94.146794 92.591919 1.018724
21 94.146794 92.633266 0.913228
22 94.146794 92.550377 0.962371
23 94.146794 92.532565 0.940849
24 94.146794 92.673909 0.981294
25 94.146794 92.64762 0.975862

gen best mean std
0 90.363246 5.573413 23.788628
1 90.65642 14.665513 30.909251
2 90.65642 28.32539 37.57258
3 90.963246 46.149833 40.436319
4 91.083246 59.396872 36.908862
5 91.203246 70.528593 31.451761
6 91.203246 75.886435 25.697224
7 91.203246 81.674136 20.081899
8 91.203246 85.707469 15.351159
9 91.203246 84.701324 16.306183
10 91.203246 88.175856 7.886448
11 91.203246 89.318049 3.632923
12 91.203246 88.93873 4.153858
13 91.203246 86.628421 10.90405
14 91.203246 82.541844 16.244005
15 91.203246 82.454653 16.382773
16 91.203246 85.214684 12.404731
17 91.203246 86.274939 10.530886
18 91.323246 87.320249 8.115193
19 91.323246 87.66134 5.856137
20 91.323246 87.137114 9.575429
21 91.383246 87.417815 8.550794
22 91.383246 87.821306 8.373895
23 91.383246 87.510267 9.774182
24 91.383246 85.737115 12.831544
25 91.383246 86.370545 10.649256
