

gen best mean std
0 74.767552 1.373469 16.088636
1 74.767552 8.677892 22.722242
2 74.767552 18.032108 27.349622
3 74.767552 28.165031 30.024057
4 74.767552 31.865803 32.418641
5 74.767552 36.988023 31.616532
6 74.767552 42.147036 29.165667
7 74.767552 48.175876 27.300742
8 74.767552 51.722748 26.357572
9 74.767552 52.576595 25.514844
10 83.965589 55.449059 24.509042
11 83.965589 54.753314 26.331599
12 83.965589 56.544793 24.717408
13 83.965589 56.722385 24.170522
14 83.965589 60.650171 22.607612
15 83.965589 60.839587 22.667215
16 83.965589 61.393452 24.159943
17 83.965589 58.373386 26.707032
18 83.965589 58.357391 25.012436
19 84.39141 59.282166 25.497996
20 84.39141 60.885268 22.989808
21 84.39141 60.732178 24.197619
22 84.39141 58.563605 24.812373
23 86.79141 59.411006 26.01109
24 86.79141 58.928707 26.137156
25 86.79141 61.182784 25.554594

gen best mean std
0 92.394865 15.637843 33.994928
1 93.791096 30.834051 42.2656
2 93.791096 49.293599 43.798471
3 93.791096 60.705572 42.343078
4 93.791096 67.419909 40.365743
5 93.791096 74.887603 35.19818
6 93.791096 81.891296 28.236364
7 93.791096 87.615565 18.757757
8 93.791096 91.965742 2.063624
9 93.791096 92.172387 1.780405
10 93.791096 92.206668 1.869759
11 94.120945 92.494237 1.703551
12 94.120945 90.978158 11.092535
13 94.120945 91.057014 11.081613
14 94.120945 89.815712 14.118389
15 94.120945 90.070038 14.140703
16 94.120945 89.940984 14.118467
17 94.120945 91.149474 11.083616
18 94.126708 92.635907 1.099384
19 94.126708 92.529683 1.295622
20 94.126708 92.603417 1.300132
21 94.126708 92.598983 1.333371
22 94.126708 92.608951 1.332852
23 94.126708 92.759666 1.123657
24 94.126708 92.724616 1.085647
25 94.126708 92.765219 1.09987

gen best mean std
0 65.864435 -1.982476 11.423098
1 65.864435 3.005772 17.939968
2 74.886318 12.283273 25.59124
3 74.986285 23.75116 30.12624
4 86.685561 33.384023 32.339151
5 86.685561 44.699027 33.519985
6 86.685561 53.558152 33.138169
7 87.285561 63.706029 29.007993
8 87.285561 70.600318 25.057156
9 87.285561 77.789241 17.348071
10 87.285561 77.625562 17.70559
11 87.285561 79.456921 15.888268
12 87.285561 79.609351 16.245032
13 87.285561 80.369549 16.678474
14 87.295744 80.641337 16.696389
15 87.295744 82.271479 15.675949
16 87.295744 82.870906 15.261495
17 87.295744 84.238042 13.233688
18 87.295744 84.438736 13.162675
19 87.295744 84.200399 13.225417
20 87.295744 84.009136 13.294226
21 87.295744 83.968083 13.285078
22 87.295744 85.6193 3.967019
23 87.295744 86.117253 3.317137
24 87.295744 86.585555 2.395889
25 87.295744 86.825312 1.718199
